professional_sector,id,profession,one_liner,job_roles,industrial_sectors,degree_dependency,mid_stream_entry,class12_prerequisite,entrance_exams,entry_gate,applicants_per_seat,prep_years,licensing_body,after_undergrad,self_employment,self_emp_ceiling_lpa,self_emp_route,india_demand,pathway,ai_exposure,ai_reason,role_spread,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,payback_years,ship,failed_rules,path_to_entry,entry_window,verified,source,admin_review,review_priority,review_reason,nuances
"Business, Management & Entrepreneurship",mgt-marketing-specialist,Marketing Specialist,"Works out who would buy something, and how to reach them.",Digital Marketing Specialist | SEO Specialist | Performance Marketing Executive | Brand Executive | Content Marketing Specialist | Social Media Manager | Marketing Analyst | Trade Marketing Executive,MEPSC | RASCI | IT-ITES | BFSI | THSC | MESC,undergrad,after_any_degree,any,CUET (BBA/B.Com),cuet-ug,,0-1,,work_first,common,,"Freelance campaign management, then a small agency. Clients are won on demonstrable results, so a portfolio substitutes for a brand name.",high,india,high,"Copy drafting, keyword research and creative variation are being absorbed fast. What survives is deciding WHO to talk to and WHY — positioning and budget allocation carry the clarity.","[Brand Executive, Content Marketing Specialist] higher: openness, verbal, existential / lower: logical, attention_span",3,3.0,3-6,8-18,0.67,yes,,"class_12: Any stream -> degree: Any bachelor's — BBA, B.Com, mass communication and arts all feed in -> skills: Google Ads, Meta Ads, analytics and SEO certifications carry real hiring weight -> employment: Agencies, in-house marketing teams, e-commerce and D2C brands",,judgment,,,none,,"[job_roles] Digital Marketer and SEO Specialist were routed here from Sector 1. The tools are technical but the job is selling, and the skill set is audience and message rather than computing."
"Business, Management & Entrepreneurship",mgt-sales-professional,Sales Professional,"Finds buyers, understands what they need, and closes the deal.",Business Development Executive | Inside Sales Executive | Key Account Executive | Medical Representative | Field Sales Executive | Channel Sales Executive | Pre-Sales Consultant | Customer Success Executive,MEPSC | RASCI | BFSI | LSSSDC | IT-ITES | ASDC | THSC,undergrad,after_any_degree,any,none,,,,,work_first,possible_later,,"Independent channel partner, distributor or manufacturer's representative, carrying a territory on commission.",high,india,medium,"Prospecting and follow-up are being automated. Persuading a person who has not decided what they want, in a room, is not — the clarity and human-trust share is what protects this.","[Pre-Sales Consultant, Inside Sales Executive] higher: logical, attention_span / lower: bodily, extraversion",3,3.0,3-6,7-16,0.67,yes,,"class_12: Any stream -> degree: Any bachelor's; B.Pharm or B.Sc is usual for medical representatives -> employment: Hired directly, then trained on the product by the employer -> progression: Territory, then key accounts — earnings move with the incentive component",,judgment,,,none,,"[economics] The band understates the top of this profession more than any other in the sector, because a large share of sales pay is variable. Two people on the same base can take home very different amounts in the same year, and the figure shown is a fixed-pay view. || [job_roles] Medical Representative was routed here from Healthcare. The employer is a pharma company and the product is medicine, but the skill set is selling — the substitution test puts the industry in the tag, not the sector."
"Business, Management & Entrepreneurship",mgt-hr-professional,Human Resources Professional,"Hires people, keeps them, and handles everything about working there.",Recruiter / Talent Acquisition Specialist | HR Generalist | HR Business Partner | Learning & Development Specialist | Compensation & Benefits Analyst | HR Operations Executive | Employee Relations Specialist,MEPSC | IT-ITES | BFSI | RASCI | HSSC | CGSC,undergrad,after_any_degree,any,CAT | XAT | CMAT | MAT | CUET (BBA) | NMAT | SNAP | IIFT,cat,41.5,1-2,,masters_advantage,possible_later,,"Independent recruitment consultancy, which needs a network rather than capital, or freelance L&D facilitation.",high,india,medium,"Screening, scheduling and payroll administration are heavily automatable. Judging whether someone will work out, and handling a grievance, are not.","[Compensation & Benefits Analyst, HR Operations Executive] higher: logical, attention_span, conscientiousness / lower: extraversion, emotional_intelligence",3,3.0,3-5.5,7-15,0.71,yes,,"class_12: Any stream -> degree: Any bachelor's; psychology, commerce and management are common -> post_graduate: MBA in HR or an MSW / PG diploma in HR is the usual accelerator, not a requirement -> employment: In-house HR teams, staffing firms, consultancies",,judgment,,,none,,"[professional_sector] HR sits here and not in Sector 13 Social Impact & Psychology even though it deals with people's wellbeing. The object of concern is the ORGANISATION — hiring, retaining and paying a workforce. A counsellor intervenes on a person's wellbeing for its own sake; HR does it because the company needs the person to work."
"Business, Management & Entrepreneurship",mgt-operations-manager,Operations & Administration Manager,Keeps an organisation actually running day to day.,Operations Executive | Business Operations Analyst | Hospital Administrator | Facility & Administration Manager | Health Information Technician | Medical Records Officer | Clinical Documentation Specialist | Process Excellence Executive | Vendor Management Executive,MEPSC | HSSC | IT-ITES | RASCI | BFSI | THSC,undergrad,after_any_degree,any,CAT | XAT | CMAT | MAT | CUET (BBA) | NMAT | SNAP | IIFT,cat,41.5,1-2,,masters_advantage,rare,,,high,india,medium,"Records administration, scheduling and reporting are highly automatable and the documentation roles at one end of this profession are directly exposed. Running a hospital's day, where something is always broken and someone must decide, is not.","[Health Information Technician, Medical Records Officer, Clinical Documentation Specialist] higher: attention_span, conscientiousness / lower: extraversion, openness",3,3.0,3-5.5,7-15,0.71,yes,,"class_12: Any stream -> degree: Any bachelor's; BBA and B.Com are common, and hospital administration takes health graduates too -> post_graduate: MBA or MHA (Master of Hospital Administration) for the larger administrator roles -> employment: Hospitals, corporates, shared-services centres, hotels, education institutions",,judgment,,,none,,"[job_roles] Hospital Administrator and the health records roles were routed here from Sector 4. Running an organisation is management whatever the organisation does, and records administration is operations work whatever the records are about. || [ai_exposure] This profession contains its own exposure gradient. The records and documentation roles sit well above the profession's overall score; the administrator roles sit well below it. A student should be told which end they are entering."
"Business, Management & Entrepreneurship",mgt-supply-chain-manager,Supply Chain & Logistics Manager,"Plans how goods get made, stored and delivered on time.",Supply Chain Analyst | Procurement Executive | Demand Planner | Inventory Planning Executive | Logistics Coordinator | Warehouse Operations Executive | Import-Export Executive | Sourcing Executive,LSC | MEPSC | RASCI | FICSI | ASDC | AMHSSC | CGSC,undergrad,after_any_degree,any,CAT | XAT | CMAT | MAT | CUET (BBA) | NMAT | SNAP | IIFT,cat,41.5,1-2,,masters_advantage,possible_later,,"Freight forwarding or customs broking agency, or an independent sourcing agent for overseas buyers.",high,india,medium,"Forecasting, route planning and reorder decisions are exactly what optimisation systems do well. Supplier negotiation and handling a disrupted shipment are not.",,3,3.0,3.5-6,8-16,0.63,yes,,"class_12: Any stream -> degree: Any bachelor's; BBA, B.Com and engineering all feed in -> post_graduate: MBA in operations or a PG diploma in supply chain is the common accelerator -> employment: Manufacturers, e-commerce, 3PL logistics firms, retail chains",,judgment,,,none,,
"Business, Management & Entrepreneurship",mgt-logistics-warehouse-operator,Logistics & Warehouse Operator,"Moves, stores and dispatches goods so orders actually arrive.",Warehouse Associate | Inventory Assistant | Dispatch Executive | Forklift Operator (warehouse) | Last-Mile Delivery Executive | Loading Supervisor | Packing & Fulfilment Associate,LSC | RASCI | FICSI | AMHSSC,certificate,open,any,none,,,,,work_first,possible_later,,"Owning a delivery vehicle and contracting to a logistics firm, or a small local transport business.",high,india,low,Physical handling of goods in unstructured spaces. Warehouse automation is real but capital-intensive and concentrated in the largest facilities; most Indian warehousing is manual.,,1,0.3,1.8-3,3.5-6,0.12,yes,,"class_10: Class 10 is enough for most entry roles -> certificate: LSC skill certification, or a forklift or material-handling licence -> employment: E-commerce fulfilment centres, 3PL warehouses, retail distribution, quick-commerce dark stores -> progression: Team lead, then shift and warehouse operations — the ladder is real and internal",,judgment,,REVIEW,medium,"SELF-EMPLOYMENT CEILING OWED. Employed mid-career is 4.75 lakh and owning a vehicle and contracting to a logistics firm is a common step up, but no reliable Indian figure exists for what an owner-driver clears after EMI and fuel.","[professional_sector] This is the BASE of the logistics pyramid, listed beside Supply Chain & Logistics Manager at its apex — the same treatment Mason gets beside Civil Engineer. Industry employment figures count this layer; profession size does not follow from them."
"Business, Management & Entrepreneurship",mgt-retail-store-operations,Retail & Store Operations,"Runs the shop floor — stock, displays, billing and customers.",Retail Sales Associate | Cashier / Billing Executive | Visual Merchandiser | Stock & Inventory Assistant | Customer Service Associate (retail) | Category Assistant | Store Operations Executive,RASCI | AMHSSC | THSC | FICSI | MEPSC,certificate,open,any,none,,,,,work_first,common,,"Own retail shop or a brand franchise. Retail experience translates directly into running a store, which is the most common small business in India.",high,india,low,"Billing and stock counting are automatable and self-checkout exists. Persuading someone in a shop, handling a complaint and physically running a floor are not.","[Visual Merchandiser] higher: spatial, openness / lower: extraversion",1,0.3,1.8-3.5,4-8,0.11,yes,,"class_12: Class 12 in any stream; some roles take class 10 -> certificate: RASCI retail skill certification, or employer-run induction training -> employment: Organised retail chains, malls, brand stores, supermarkets, quick-commerce stores -> progression: Section, then store operations — retail promotes from the floor more than most sectors",,judgment,,,none,,"[professional_sector] The base of the retail pyramid, and a formal organised-sector job — a store associate has an employer, a salary slip and a shift roster. It is included for the same reason as the construction trades: the layer that employs the most people should not be invisible because it sits at the bottom of a pyramid."
"Business, Management & Entrepreneurship",mgt-product-manager,Product Manager,"Decides what a product should do next, and why.",Associate Product Manager | Product Manager | Product Analyst (product management) | Product Marketing Manager | Growth Product Manager | Product Owner,IT-ITES | BFSI | RASCI | MEPSC | HSSC | MESC,undergrad,after_any_degree,any,CAT | XAT | CMAT | MAT | CUET (BBA) | NMAT | SNAP | IIFT,cat,41.5,1-2,,masters_advantage,possible_later,,"Founding a product company, or independent product consulting for early-stage startups.",high,india,medium,"The highest clarity share in this sector, and that is the whole protection. Specification documents and competitor summaries are automatable; deciding WHAT TO BUILD AND FOR WHOM, and being accountable for the choice, is the job.",,5,3.0,8-16,20-40,0.25,yes,,"class_12: Any stream -> degree: Any bachelor's; engineering, design and business are the common feeders -> employment: Usually entered LATERALLY after two to four years in engineering, design, analytics or sales -> post_graduate: An MBA is a common but optional accelerator, especially for the APM route",,judgment,,,none,,"[mid_stream_entry] This profession is almost never entered straight out of a degree. It is a lateral destination reached after a few years in engineering, design, analytics or sales, which is why years_to_qualify is 5 rather than 3. A student should read it as a second job, not a first one."
"Business, Management & Entrepreneurship",mgt-project-manager,Project Manager,Gets a piece of work finished on time with the people available.,Project Coordinator | Scrum Master | IT Project Manager | PMO Analyst | Agile Coach | Programme Coordinator | Implementation Manager,IT-ITES | MEPSC | BFSI | CSDCI | HSSC | CGSC,undergrad,after_any_degree,any,none,,,,,work_first,possible_later,,"Independent delivery consulting or agile coaching, usually on the strength of certifications and a client network.",high,india,medium,"Status reporting, planning and tracking are being absorbed by tooling. Getting a team to agree and holding a scope against pressure is a human negotiation.",,4,3.0,5-9,12-24,0.43,yes,,"class_12: Any stream -> degree: Any bachelor's -> certification: PMP, PRINCE2 or Certified Scrum Master are what employers screen on -> employment: IT services, construction, consulting, manufacturing, banking",,judgment,,,none,,"[job_roles] IT Project Manager and Scrum Master were routed here from Sector 1. Delivery management is management; the industry is the tag. The certifications, not a degree, are what the market actually screens on."
"Business, Management & Entrepreneurship",mgt-management-consultant,Management Consultant,"Is brought in to work out why a business is stuck, and what to change.",Business Analyst (consulting) | Strategy Analyst | Management Consultant | Process Consultant | Business Transformation Analyst | Research Associate (consulting),MEPSC | BFSI | IT-ITES | HSSC | RASCI | EXT-GOVT,undergrad,after_any_degree,any,CAT | XAT | CMAT | MAT | CUET (BBA) | NMAT | SNAP | IIFT,cat,41.5,1-2,,masters_advantage,possible_later,,Independent consulting once a client network exists — the common exit after several years in a firm.,moderate,india,medium,"Research, benchmarking and slide production are being absorbed quickly and those are the analyst-level tasks. Framing the right question and persuading a board carry the clarity.",,5,15.0,8-18,20-45,1.15,yes,,"class_12: Any stream -> degree: Any bachelor's; hiring skews to engineering, economics and commerce from a narrow set of campuses -> post_graduate: An MBA from a top-tier institute is the main entry route into the strategy firms -> employment: Strategy firms, Big Four advisory, boutique and in-house strategy teams",,judgment,,,none,,"[profession] Distinct from IT Business & Systems Analyst in Sector 1, which scored a real overlap on probe. The separation is the skill set: an IT business analyst works in SQL, systems and requirement documents for one system; a management consultant works on organisation, process and strategy across a business. || [economics] cost_of_entry_lakh is high because the realistic route runs through a top-tier MBA, where two-year fees at the IIMs and ISB sit well above a normal postgraduate programme. The entry cost is the differentiator, not the degree itself."
