professional_sector,id,profession,one_liner,job_roles,industrial_sectors,degree_dependency,mid_stream_entry,class12_prerequisite,entrance_exams,entry_gate,applicants_per_seat,prep_years,licensing_body,after_undergrad,self_employment,self_emp_ceiling_lpa,self_emp_route,india_demand,pathway,ai_exposure,ai_reason,role_spread,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,payback_years,ship,failed_rules,path_to_entry,entry_window,verified,source,admin_review,review_priority,review_reason,nuances
12. Education & Training,edu-school-teacher,School Teacher,"Teaches a class of children a subject, and is answerable for whether they learn it.","Government School Teacher | Primary Teacher (PRT) | Trained Graduate Teacher (TGT) | Post Graduate Teacher (PGT) | Pre-Primary Teacher | Physical Education Teacher | Computer Teacher | Language Teacher | Art & Design Teacher | Music, Dance & Drama Teacher | School Librarian",EXT-EDU | EXT-GOVT,undergrad,after_any_degree,any,CTET | State Teacher Eligibility Tests | KVS and NVS recruitment | State teacher recruitment examinations,,,,,masters_advantage,possible_later,,"Private tuition alongside a teaching post, which is near-universal in India, or running a coaching centre. Tuition income frequently exceeds the school salary in the private-school half of this profession.",high,india,low,"Low exposure and it is worth being precise about why, because content generation looks threatening. Lesson plans, worksheets and question banks do generate easily, and Computer Teacher and Language Teacher will feel that in preparation time. But the job is not producing material - it is holding the attention of forty children, noticing which one has stopped following, and being the adult in the room. Pre-Primary Teacher and Physical Education Teacher are the least exposed work in the sector.","[Pre-Primary Teacher] higher: agreeableness, emotional_intelligence, bodily / lower: logical || [Post Graduate Teacher (PGT)] higher: long_term_memory, reasoning, logical / lower: agreeableness || [Physical Education Teacher] higher: bodily, extraversion, confidence / lower: attention_span",5,4.0,3.0-8.3,6.0-16.0,0.71,yes,,"class_11_12: Any stream. The stream decides which subject you can eventually teach, not whether you can teach. -> degree: A bachelor's degree in the subject, or D.El.Ed for primary teaching. -> professional_qualification: B.Ed (2 years) from an NCTE-recognised institution, or the integrated 4-year B.A./B.Sc B.Ed. -> eligibility_test: CTET or the state TET - a statutory minimum qualification for appointment to teach classes I to VIII. -> recruitment: KVS, NVS, state public service commission or state education department recruitment for government posts; direct interview for private schools.",,verified,data/verified_facts.json#tet-mandatory-school-teaching,REVIEW,high,"economics.distribution is 'bimodal'. Two populations, not a spread. A Kendriya Vidyalaya primary teacher starts near 8.3 lakh on the 7th CPC matrix; a private school teacher in a small town may earn a fifth of that. Which one you are is decided by a recruitment examination, not by ability. Decide how the application should present this record - suppress the range and state the risk, or show both halves separately.","[economics] BIMODAL, and the single figure cannot say so. A Kendriya Vidyalaya PRT starts at roughly 8.3 lakh a year gross on the 7th CPC matrix - more than a fresh software developer - while a private school in a small town may pay 1.5 to 3 lakh for the same work. State government pay sits between the two. Which side of that gap you land on is decided by a recruitment examination, not by ability to teach. || [licensing_body] Null, and the distinction matters. TET is a statutory ELIGIBILITY CONDITION under Section 23 of the RTE Act, not a licence: there is no register of teachers, no professional conduct jurisdiction and nobody is struck off. That is why this profession is Tier B rather than Tier A, despite the gate being real and hard. || [demand_signal] High, and structurally so - India has a standing shortfall of qualified teachers, particularly in government schools and in science and mathematics. The shortage and the low private-sector pay coexist because they are different markets. || [economics] economics.distribution is 'bimodal', which is a statement that the range and the midpoint should not be read as a typical income. Two populations, not a spread. A Kendriya Vidyalaya primary teacher starts near 8.3 lakh on the 7th CPC matrix; a private school teacher in a small town may earn a fifth of that. Which one you are is decided by a recruitment examination, not by ability. The compensation filter does not fire on a power_law record, because deleting a profession on the strength of a number the record itself calls meaningless would be worse than showing it."
12. Education & Training,edu-special-educator,Special Educator,"Teaches children with disabilities and learning differences, and adapts how they are taught.",Special Educator | Learning Disability Specialist | Resource Room Teacher | Early Intervention Specialist | Inclusive Education Coordinator | Braille & Assistive Technology Instructor | Teacher of the Deaf | Shadow Teacher & Classroom Support Specialist,EXT-EDU | HSSC | SCPWD,undergrad,after_any_degree,any,CTET (for school posts) | State Teacher Eligibility Tests,,,,Rehabilitation Council of India (RCI),masters_advantage,common,,"Private practice - one-to-one remediation, assessment and shadow support paid for directly by families. Extremely common, and it is where the income in this profession actually is.",high,india,low,"Among the least exposed professions in the dataset once legal accountability is applied. The work is reading one specific child's response minute by minute and changing approach, with a statutory register behind the judgment. Braille & Assistive Technology Instructor is the most exposed role, since some assistive functions are increasingly built into consumer devices - but that expands what the child can do rather than replacing the person teaching them to use it.","[Early Intervention Specialist] higher: emotional_intelligence, agreeableness, attention_span / lower: verbal || [Braille & Assistive Technology Instructor] higher: logical, spatial, conscientiousness / lower: extraversion || [Shadow Teacher & Classroom Support Specialist] higher: agreeableness, conscientiousness / lower: confidence",5,4.0,2.4-6.0,5.0-12.0,0.95,yes,,"class_11_12: Any stream. -> degree: A bachelor's degree, then B.Ed Special Education in a disability specialisation, from an RCI-recognised institution. -> registration: Enrolment on the Central Rehabilitation Register maintained by the Rehabilitation Council of India. MANDATORY - practising without it is an offence under Section 13 of the RCI Act. -> renewal: Keep the CRR registration current. It is renewable, and lapsing it means you may not lawfully hold the post. -> work: Special school, inclusive mainstream school, early intervention centre, NGO, or private practice.",,verified,data/verified_facts.json#rci-registration-mandatory,,none,,"[licensing_body] One of the very few genuinely Tier A professions outside healthcare and law. Section 13(2) of the RCI Act 1992 bars an unregistered person from holding office as, or practising as, a rehabilitation professional anywhere in India, and Section 13(3) makes contravention punishable with up to a year's imprisonment. Two limits are worth knowing: the maximum fine is Rs 1,000 and has not been revised since 1992, and Section 25 allows prosecution only on a written complaint by the Council. || [demand_signal] High and rising, driven by the Rights of Persons with Disabilities Act 2016 and by schools being required to include children they previously excluded. The supply of RCI-registered special educators is far below what that implies, which is why shadow teaching is largely done by unregistered people - a gap the law does not acknowledge."
12. Education & Training,edu-college-teacher,College & University Teacher,Teaches a subject at degree level and usually researches it - the academic career.,Assistant Professor | College Lecturer | Guest Faculty | Polytechnic Lecturer | Postdoctoral Researcher | Academic Tutor | Laboratory Instructor (College) | Media & Journalism Teacher,EXT-EDU | EXT-RND | EXT-GOVT,undergrad,after_any_degree,any,UGC NET | CSIR-UGC NET | State Eligibility Tests (SET/SLET),csir-ugc-net,,1-2,,masters_required,possible_later,,"Consultancy, textbook writing, examining and online course teaching alongside a post. Full independence is rare - the salary and the institution are the career.",moderate,india,low,"Low exposure and unusually well protected, because the credential and the institution are the product. A model can explain a subject; it cannot award a degree, supervise a thesis or sit on an examination board. Academic Tutor and Guest Faculty are the exposed roles, since explanation-on-demand is exactly what students now get free. Research supervision and assessment are the durable core.","[Guest Faculty, Academic Tutor] higher: conscientiousness, verbal / lower: confidence || [Postdoctoral Researcher] higher: reasoning, openness, attention_span / lower: extraversion || [Polytechnic Lecturer, Laboratory Instructor (College)] higher: bodily, spatial, logical / lower: openness",9,6.0,4.5-9.0,9.0-18.0,0.89,yes,,"class_11_12: Any stream - it decides the subject. -> degree: Bachelor's then master's in the subject, usually with at least 55 percent. -> eligibility_test: UGC NET, or CSIR-UGC NET for the sciences. Qualifying with JRF also funds a PhD. -> doctorate: PhD - now effectively required for a permanent university post, and 4 to 6 years long. -> work: Assistant Professor at a college or university. Guest and contract faculty first, for most people.",,verified,data/verified_facts.json#csir-jrf-srf-stipend,,none,,"[years_to_qualify] Nine years from class 12 and that is the honest figure: three or four for the bachelor's, two for the master's, then a PhD of four to six. It is the longest runway in this dataset outside medicine, and unlike medicine there is no guaranteed post at the end. || [entry_competition] CSIR-UGC NET is named as the primary gate for the same reason as in Sector 3 - the JRF stipend decides whether the PhD years are financially survivable. The humanities and social science UGC NET is a separate examination not yet in the registry, which is recorded in pending_gates. || [mid_stream_entry] 'after_any_degree' is true but hides the real lock: the subject of your MASTER'S is the profession. Any bachelor's degree can lead here, but switching discipline after that usually means starting again from a relevant bachelor's, because most universities will not admit you to a master's in a subject you have not read."
12. Education & Training,edu-coaching-faculty,Coaching & Test-Prep Teacher,"Teaches students to pass a specific examination - JEE, NEET, UPSC, banking, boards.",Coaching Faculty (Engineering Entrance) | Coaching Faculty (Medical Entrance) | Competitive Exam Faculty | Private Tutor | Online Tutor | Coding Instructor | Spoken English Trainer | Doubt-Solving Faculty | Test & Question Setter,EXT-EDU | IT-ITES,undergrad,after_any_degree,any,none,,,,,work_first,common,,"Own tuition practice or a coaching centre. This is the normal end state, and a tutor with a reputation in one town earns multiples of an institute salary.",high,india,medium,"Genuinely split, and the split runs through the middle of the profession. Doubt-Solving Faculty and Test & Question Setter are directly exposed - answering a doubt and generating a practice question are exactly what a model does, and edtech has already automated much of it. Private Tutor and star coaching faculty are protected by something a model cannot supply: a specific person the student and their parents trust with an outcome that decides the family's next twenty years.","[Private Tutor, Online Tutor] higher: agreeableness, emotional_intelligence, conscientiousness / lower: confidence || [Coaching Faculty (Engineering Entrance), Coaching Faculty (Medical Entrance)] higher: confidence, extraversion, long_term_memory / lower: agreeableness || [Test & Question Setter, Doubt-Solving Faculty] higher: logical, attention_span, reasoning / lower: extraversion",3,2.0,2.4-6.0,5.0-18.0,0.48,yes,,"class_11_12: Any stream - it decides what you can teach. -> degree: A bachelor's degree in the subject. For JEE and NEET coaching an IIT or medical background is what the market actually pays for. -> demonstration: A demo lecture. Coaching institutes hire on classroom performance, not on qualifications. -> work: Coaching institute faculty, an edtech company, or private tuition on your own account.",,judgment,,REVIEW,high,A POWER-LAW INCOME presented as a range - DECISIONS.md 10 (sixteenth correction) names six such records and this was the only one not flagged. Star coaching faculty at the top institutes earn extraordinary sums and the median is an ordinary teaching salary with worse security; there is very little middle for a midpoint to describe. Decide whether to suppress the range and state the risk instead.,"[economics] The widest employed range in this sector, and it is a power law rather than a spread. Coaching faculty with a track record at the top institutes earn extraordinary sums; most faculty earn ordinary teaching salaries with worse job security. The mid-career figure describes the middle of a distribution that has very little middle. || [demand_signal] High, and it is worth naming what drives it: the coaching industry exists because the gates in DECISIONS.md's own entrance_gates registry are as narrow as they are. This profession's demand is a direct function of NEET at 18.7 applicants per seat and JEE at 23.5. || [professional_sector] Placed in Education rather than treated as a business, because the object of concern is a student learning something. The coaching CENTRE as an enterprise is Sector 5 entrepreneurship; the person in front of the class is here. || [economics] economics.distribution is 'power_law', which is a statement that the range and the midpoint should not be read as a typical income. Star faculty at the top institutes earn extraordinary sums; the median is an ordinary teaching salary with worse job security. There is very little middle. The compensation filter does not fire on a power_law record, because deleting a profession on the strength of a number the record itself calls meaningless would be worse than showing it."
12. Education & Training,edu-early-childhood,Early Childhood & Anganwadi Educator,"Looks after and teaches children under six - anganwadis, creches and preschools.",Anganwadi Worker | Anganwadi Helper | Preschool Teacher | Creche Worker | Balwadi Teacher | Early Childhood Care Assistant | Anganwadi Supervisor | Nutrition & Health Educator (ICDS),EXT-EDU | EXT-GOVT | HSSC,certificate,open,any,State Anganwadi Worker recruitment,,,,,work_first,possible_later,,"A private creche or playgroup, which needs a room and a licence rather than capital. It is the realistic route out of honorarium work for someone with the training.",high,india,low,"Almost unexposed. The work is physically caring for very small children, feeding them, weighing them and keeping them safe. Nutrition & Health Educator (ICDS) and Anganwadi Supervisor carry the only exposure, through the record-keeping and reporting that has already largely moved to a phone application.","[Anganwadi Supervisor] higher: conscientiousness, verbal, extraversion / lower: bodily || [Preschool Teacher] higher: openness, musical, emotional_intelligence / lower: neuroticism",2,0.3,0.6-1.8,1.2-3.6,0.25,NO,mid_career 2.4 < floor 4.5,"class_11_12: Class 10 or 12 depending on the state. Anganwadi Worker recruitment is usually class 10 or 12 pass. -> training: State ICDS training for anganwadi posts, or a Nursery Teacher Training / Early Childhood Care and Education diploma for private preschools. -> recruitment: Anganwadi posts are filled by the state Women and Child Development department, usually with a local residence requirement. -> work: Anganwadi centre, creche, or private preschool chain.",,judgment,,REVIEW,high,"The honorarium figure is Delhi's, which is at the generous end. No state-by-state range was fetched, and the spread is the single most decision-relevant fact for a student considering this work. Also unresolved: whether an occupation the state deliberately classifies as voluntary service rather than employment should be presented in a salary field at all.","[economics] Verified and grim. Anganwadi Workers are paid an HONORARIUM, not a salary - no pay scale, no increment, no pension. In Delhi that is Rs 12,720 a month including a generous state top-up; the fixed central component is a fraction of it, so the identical job pays several times less in states that add little. 13.5 lakh Anganwadi Workers and 10.2 lakh Helpers do this work. || [filter] Fails the compensation filter, and listing it anyway is the point. This is among the largest single occupations in India, it is overwhelmingly done by women, it is often the only formal-sector work available in a village, and it is classified as voluntary service precisely so that it need not be paid as employment. || [demand_signal] High in the sense that the posts exist in every village and turnover is real. It is not high in the sense of a growing career - the number of sanctioned anganwadi centres is largely fixed."
12. Education & Training,edu-vocational-trainer,Vocational & Skill Trainer,"Teaches a trade to people who will do it - ITI, apprenticeship and skilling programmes.",ITI Instructor | Skill Development Trainer | Apprenticeship Trainer | Assessor (NSQF) | Workshop Instructor | Placement & Employability Trainer | Master Trainer | Industry Trainer,EXT-EDU | MEPSC | CGSC,certificate,open,any,Craft Instructor Training Scheme (CITS) | State ITI instructor recruitment | Sector Skill Council trainer certifications,,,,,work_first,possible_later,,"Running a private training centre affiliated to a Sector Skill Council, or independent corporate and industrial training. Both depend on holding the certifications that let you certify others.",moderate,india,low,"Low exposure, protected by the same thing the trades themselves are protected by: you cannot teach someone to weld through a screen. Placement & Employability Trainer and Assessor (NSQF) carry the exposure - communication training and standards-based assessment are both substantially generatable. ITI Instructor and Workshop Instructor are as safe as the trade they teach.","[Assessor (NSQF)] higher: conscientiousness, attention_span, logical / lower: extraversion || [Placement & Employability Trainer] higher: verbal, extraversion, emotional_intelligence / lower: bodily || [ITI Instructor, Workshop Instructor] higher: bodily, spatial, conscientiousness / lower: verbal",4,1.5,2.4-4.8,4.0-10.0,0.42,yes,,"class_11_12: Any stream, or an ITI trade certificate. -> trade_experience: Work in the trade. This is what actually qualifies a vocational trainer and no course substitutes for it. -> training: Craft Instructor Training Scheme (CITS) for ITI posts, or a Sector Skill Council Train-the-Trainer certification for NSQF programmes. -> work: Government or private ITI, a skilling partner under PMKVY, a corporate training centre, or an industry apprenticeship programme.",,judgment,,,none,,"[demand_signal] Moderate and policy-driven rather than market-driven, which is a real risk worth naming. A large part of this profession is employed through government skilling schemes, so demand moves with scheme funding cycles rather than with the underlying need for trained workers. || [professional_sector] Placed in Education rather than Sector 2 with the trades, on the teaching-anything rule. The counterpart decision is that a working electrician stays in Sector 2 - the same subject, split by whether you do the work or teach it."
12. Education & Training,edu-corporate-trainer,Corporate Trainer & Learning Professional,"Builds and runs training for people already in jobs - skills, systems, compliance, leadership.",Corporate Trainer | Learning Consultant | Soft Skills Trainer | Technical Trainer | Onboarding Specialist | Compliance Training Specialist | Sales Enablement Trainer | Learning Experience Designer,MEPSC | EXT-EDU | IT-ITES,undergrad,after_any_degree,any,none,,,,,work_first,common,,Independent training consultancy charging per day or per programme. Very common in this profession and the standard second half of the career.,moderate,any,medium,"Substantially exposed on the content side and protected on the delivery side. Compliance Training Specialist and Onboarding Specialist produce standardised material that generates well, and Learning Experience Designer is exposed for the same reason instructional design generally is. What survives is the room: reading whether thirty adults have actually understood something, and being credible to them because you have done the job.","[Technical Trainer] higher: logical, reasoning, attention_span / lower: extraversion || [Soft Skills Trainer, Sales Enablement Trainer] higher: extraversion, confidence, emotional_intelligence / lower: logical",6,3.0,3.6-7.0,7.0-16.0,0.57,yes,,"class_11_12: Any stream. -> degree: Any bachelor's degree. -> domain_experience: Several years doing the work you will train. Almost nobody enters corporate training directly from a degree, which makes this a second career rather than a first. -> work: In-house L&D team, a training consultancy, or independent practice.",,judgment,,,none,,"[years_to_qualify] Six years, and it is not study - it is the domain experience the job requires before anyone will listen to you. This is a SECOND career, entered in the late twenties or thirties, and it should not be presented to a school student as a direct destination. || [industrial_sectors] Promised to this sector from Sector 5. It sits in Education rather than Business because the object of concern is whether a person learns something, and the employer being a company is exactly what DECISIONS.md 2.2 calls a tag."
12. Education & Training,edu-instructional-designer,Curriculum & Instructional Designer,"Designs what gets taught and how - syllabi, textbooks, courses, assessments, e-learning.",Instructional Designer | Curriculum Developer | Educational Content Developer | Assessment & Question Designer | Textbook Writer | E-learning Developer | Academic Coordinator | Education Researcher | Learning Content Editor,EXT-EDU | IT-ITES | MESC,undergrad,after_any_degree,any,none,,,,,work_first,common,,"Freelance curriculum and content development for publishers, edtech firms and institutions, usually project by project. Common after five or six years.",moderate,any,medium,"The most exposed profession in this sector. Generating a lesson sequence, a set of practice questions or a module outline is close to a canonical use of a language model, and Educational Content Developer, Assessment & Question Designer and E-learning Developer all sit directly in it. What holds is deciding what a specific cohort needs to learn and in what order, defending that against a syllabus committee, and knowing why the previous version failed - which is clarity, and is what Education Researcher and Curriculum Developer do.","[Education Researcher] higher: reasoning, logical, attention_span / lower: extraversion || [E-learning Developer] higher: logical, spatial, conscientiousness / lower: verbal || [Academic Coordinator] higher: conscientiousness, extraversion, agreeableness / lower: openness",4,3.0,3.0-6.0,6.0-15.0,0.67,yes,,"class_11_12: Any stream. -> degree: Any bachelor's degree; a master's in education, a subject discipline or instructional design helps. -> portfolio: Samples of designed material - a module, an assessment, a course outline. Teaching experience is the commonest way in. -> work: Edtech company, publisher, university teaching and learning centre, NGO, or a corporate L&D team.",,judgment,,,none,,"[ai_exposure] The bottom rung is shrinking hard here. Content development was the standard entry job in Indian edtech and it employed very large numbers of graduates; that intake has visibly contracted. The senior design and research work is intact, but the ladder that produced people for it is not."
12. Education & Training,edu-librarian,Librarian & Information Professional,"Organises knowledge so people can find it - libraries, archives, digital collections.",Librarian | Assistant Librarian | Library Assistant | Cataloguer | Digital Repository Manager | Information Literacy Instructor | School & College Library Coordinator | Records & Documentation Officer,EXT-EDU | EXT-CULT | EXT-GOVT,undergrad,after_any_degree,any,UGC NET (Library & Information Science) | State and central library recruitment,,,,,masters_required,possible_later,,"Freelance cataloguing, records management and knowledge-management consultancy for institutions and companies. A thin market, and it depends on the digital skills rather than the traditional ones.",low,india,medium,"Genuinely contested. Cataloguer and Library Assistant work is substantially automatable - metadata generation and classification are pattern tasks - and search itself has been the profession's competition for two decades. What has grown rather than shrunk is Information Literacy Instructor and Digital Repository Manager: when finding text became free, judging and curating it became the job.","[Digital Repository Manager] higher: logical, spatial, conscientiousness / lower: extraversion || [Information Literacy Instructor] higher: verbal, extraversion, emotional_intelligence / lower: attention_span",5,3.0,2.4-5.0,5.0-13.0,0.81,yes,,"class_11_12: Any stream. -> degree: Any bachelor's degree, then B.Lib.I.Sc and usually M.Lib.I.Sc. -> eligibility_test: UGC NET in Library and Information Science for college and university librarian posts. -> recruitment: University, college, school, public library system, research institute or corporate information centre. Most good posts are government and filled by examination.",,judgment,,,none,,"[demand_signal] Low, and honestly so. School and college librarian posts in India are frequently unfilled or merged into other duties, and public library systems are thinly funded. The work exists; the sanctioned posts are shrinking. || [professional_sector] Placed in Education rather than Sector 17 with heritage. An archivist preserving a collection for its own sake would belong in 17; a librarian exists so that a specific community of readers can learn, which is this sector's object of concern."
12. Education & Training,edu-career-counsellor,Career & Education Counsellor,"Helps students choose what to study and what to do next, and understands the routes.",Career Counsellor | School Guidance Counsellor | Admissions Counsellor | Study Abroad Consultant | Education Consultant | Placement Officer | Psychometric Assessor (Career) | Scholarship & Financial Aid Advisor,EXT-EDU | MEPSC | HSSC,undergrad,after_any_degree,any,Career counselling certifications (private providers),,,,,work_first,common,,"Independent counselling practice charging per student or per assessment, and school retainers. Common, and it is where the profession's better practitioners end up.",moderate,india,medium,"High retrievable-knowledge content and it shows: the factual half of this job - which exam, which cutoff, which college, which deadline - is exactly what a well-built system answers better than a person. Admissions Counsellor and Study Abroad Consultant are directly exposed on that. What survives is the part this dataset exists to support rather than replace: knowing a specific sixteen-year-old, and what their family can afford, fear and accept.","[Study Abroad Consultant, Admissions Counsellor] higher: extraversion, conscientiousness, verbal / lower: agreeableness || [School Guidance Counsellor] higher: emotional_intelligence, agreeableness, attention_span / lower: confidence || [Psychometric Assessor (Career)] higher: logical, reasoning, conscientiousness / lower: extraversion",4,2.5,2.4-5.0,5.0-14.0,0.68,yes,,"class_11_12: Any stream. -> degree: Any bachelor's degree; psychology, education or social work is the usual background. -> training: A career counselling certification, or a master's in psychology or education. Nothing is legally required. -> work: School counselling cell, private practice, an edtech or admissions company, or a college placement office.",,judgment,,,none,,"[licensing_body] Null, and this is a consumer-protection gap worth stating on the record. Anyone in India may charge a family for career advice with no qualification, no register and no complaints route, and a large part of the paid market is commission-based representation of colleges rather than advice. || [professional_sector] Placed here rather than in Sector 13 with psychology because the object of concern is an educational and occupational decision, not wellbeing. The boundary is real: a school guidance counsellor doing clinical work needs RCI registration, and this profession does not."
