professional_sector,id,profession,one_liner,job_roles,industrial_sectors,degree_dependency,mid_stream_entry,class12_prerequisite,entrance_exams,entry_gate,applicants_per_seat,prep_years,licensing_body,after_undergrad,self_employment,self_emp_ceiling_lpa,self_emp_route,india_demand,pathway,ai_exposure,ai_reason,role_spread,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,payback_years,ship,failed_rules,path_to_entry,entry_window,verified,source,admin_review,review_priority,review_reason,nuances
"Law, Governance & Public Service",law-lawyer,Lawyer,"Argues and advises on what the law allows, requires and forbids.",Advocate (litigation) | Corporate Lawyer | Legal Counsel (in-house) | Public Prosecutor | Legal Advisor | Arbitration Counsel | Intellectual Property Attorney | Legal Researcher,EXT-LEGAL | EXT-GOVT | BFSI | MEPSC | IT-ITES,professional,after_any_degree,any,CLAT | AILET | LSAT India | AIBE (after enrolment) | CUET (LLB) | SLAT,clat,24.9,1-2,Bar Council of India,masters_advantage,common,,"Independent practice is the traditional shape of the profession — chambers first, then your own. Needs enrolment and a Certificate of Practice rather than capital.",high,india,low,"Research, drafting and document review are exposed and already changing. Advocacy carries personal professional liability and a court will not hear software, which is what protects it.","[Advocate (litigation), Public Prosecutor, Arbitration Counsel] higher: verbal, confidence, extraversion / lower: attention_span",5,6.0,3-10,12-35,0.92,yes,,"class_12: Any stream -> degree: Five-year integrated LLB after class 12, OR a three-year LLB after any bachelor's degree -> enrolment: Enrol as an advocate with a State Bar Council under the Advocates Act 1961 -> aibe: Pass the All India Bar Examination for the Certificate of Practice -> practice: Chambers, law firms, in-house legal teams, or independent practice",,verified,https://www.pw.live/judiciary/exams/aibe-exam-eligibility,,none,,"[mid_stream_entry] Law is one of the most reachable mid-career switches in the taxonomy. The three-year LLB accepts a graduate of ANY discipline, and there is no age limit on Bar Council enrolment or on AIBE attempts. A commerce or engineering graduate at thirty can still become a lawyer. || [economics] The widest early-earnings spread in the dataset, and it is structural rather than noisy. A litigation junior in a district court may earn almost nothing for two to three years while a tier-1 corporate firm entrant starts near the top of the band. Which one a student lands in is decided largely by which law school they attended."
"Law, Governance & Public Service",law-company-secretary,Company Secretary,Makes sure a company follows the law it is required to follow.,Company Secretary | Compliance Officer | Secretarial Auditor | Corporate Governance Analyst | Legal & Secretarial Executive | Listing Compliance Officer,MEPSC | BFSI | EXT-LEGAL | IT-ITES | CGSC,professional,open,any,CSEET (ICSI),,,,Institute of Company Secretaries of India (ICSI),work_first,common,,"Practice as a Company Secretary in whole-time practice, doing secretarial audit and compliance for several companies.",moderate,india,low,"Filings, registers and compliance checklists are highly structured and exposed. A Company Secretary is a Key Managerial Personnel who signs and is personally liable, and liability does not automate.",,4,1.5,4-8,10-22,0.25,yes,,"class_12: ANY stream; minimum age 17 for CSEET -> cseet: CSEET, the ICSI entrance test; graduates with 50 percent may skip it and enter Executive directly -> executive: Executive Programme -> professional: Professional Programme plus practical training — three to five years in total -> employment: Listed companies, which are legally required to appoint one, plus firms in practice",,verified,https://www.catestseries.org/blogs/company-secretary-admission.php,,none,,"[profession] NOT a secretary in the clerical sense, not a founder's-office generalist, and not a ministry Secretary — the shared word is a historical accident. Under the Companies Act 2013 a Company Secretary is a Key Managerial Personnel ranked alongside the CEO and CFO, mandatory for listed companies and personally liable for the company's regulatory filings. || [professional_sector] Sits in Law, Governance & Public Service rather than Finance. Apply the sector test: delete company law and the role disappears entirely. Its object of concern is whether the organisation obeys the law, which is governance, not money. It is a separate profession from Corporate Lawyer — different statutory qualification, different daily work."
"Law, Governance & Public Service",law-civil-services-officer,Civil Services Officer,"Runs the machinery of government — a district, a department, a policy.",IAS Officer | IFS Officer (Foreign Service) | IRS Officer | State Civil Services Officer | Sub-Divisional Magistrate | Revenue Officer,EXT-GOVT | EXT-LEGAL | EXT-DEV,undergrad,after_any_degree,any,UPSC Civil Services Examination | State Public Service Commission examinations,upsc-cse,1096.0,2-4,,work_first,rare,,,moderate,india,low,"Discretionary authority exercised under law, with personal accountability for the decision. File processing and drafting are exposed; deciding, and answering for it, is not.","[IFS Officer (Foreign Service)] higher: verbal, openness, emotional_intelligence / lower: bodily",5,2.0,8-12,15-25,0.2,yes,,"class_12: Any stream — the examination has no subject requirement -> degree: A bachelor's degree in ANY discipline -> exam: UPSC Civil Services Examination: Prelims, Mains and Interview -> training: LBSNAA or the relevant service academy -> service: Allocated to a service and a cadre","route limit: UPSC CSE — age 32 and 6 attempts for General, 35 and 9 for OBC, 37 and unlimited for SC/ST. State PSC examinations have their own, often later, limits. | bypass: S; t; a; t; e;  ; P; u; b; l; i; c;  ; S; e; r; v; i; c; e;  ; C; o; m; m; i; s; s; i; o; n;  ; e; x; a; m; i; n; a; t; i; o; n; s; ,;  ; w; h; i; c; h;  ; u; s; u; a; l; l; y;  ; a; l; l; o; w;  ; o; l; d; e; r;  ; c; a; n; d; i; d; a; t; e; s;  ; t; h; a; n;  ; U; P; S; C;  ; -;  ; s; e; v; e; r; a; l;  ; s; t; a; t; e; s;  ; r; u; n;  ; t; o;  ; 3; 8;  ; o; r;  ; 4; 0;  ; -;  ; a; n; d;  ; t; h; e;  ; I; n; d; i; a; n;  ; E; c; o; n; o; m; i; c;  ; S; e; r; v; i; c; e;  ; a; n; d;  ; o; t; h; e; r;  ; s; p; e; c; i; a; l; i; s; t;  ; U; P; S; C;  ; e; x; a; m; i; n; a; t; i; o; n; s;  ; w; i; t; h;  ; t; h; e; i; r;  ; o; w; n;  ; l; i; m; i; t; s; .",verified,https://vajiramandravi.com/upsc-exam/upsc-age-limit/,REVIEW,high,"SUCCESS RATE. Roughly a million candidates compete for a few hundred posts, and many spend three to six prime years preparing full time, often with no fallback. The record currently presents this like any other examination route. Decide how the opportunity cost of preparation should be shown — it is the single largest unmeasured risk in the taxonomy.","[entry_window] The hardest genuine entry window in the taxonomy, and unlike JEE there is no lateral route around it. It is not a hard block because 32 is late enough that a graduate of any age under it can still start, and state service commissions often allow older candidates. || [economics] The most under-measured compensation in the dataset. Government housing, medical cover, pension terms and the authority attached to the post are a large part of why people pursue this, and none of it appears in a salary figure. || [ai_exposure] legal_accountability is true with no licensing_body, and that is correct rather than an omission. A District Magistrate is personally answerable by virtue of STATUTORY OFFICE under the CrPC, the revenue codes and service conduct rules - not through a professional council. No body licenses civil servants; the state appoints them and the law holds them liable."
"Law, Governance & Public Service",law-police-officer,Police Officer,"Enforces the law, investigates crime and keeps public order.",Sub-Inspector | Police Constable | IPS Officer | Investigating Officer | Cyber Crime Officer | Traffic Officer,EXT-GOVT | EXT-DEFENCE | EXT-LEGAL,undergrad,after_any_degree,any,UPSC Civil Services Examination (IPS) | SSC CPO | State police recruitment examinations,upsc-cse,1096.0,2-4,,work_first,rare,,,high,india,low,"Physical presence, statutory authority and personal accountability. Record-keeping and some analysis are exposed; arresting someone, and answering for it in court, is not.",,4,1.0,4-8,9-18,0.17,yes,,"class_12: Any stream; constable recruitment often takes class 12 alone -> degree: A bachelor's for Sub-Inspector and IPS; not required for constable -> exam: State police recruitment boards, SSC CPO, or UPSC CSE for the IPS -> physical: Physical standards and endurance tests are a genuine second gate -> training: State police academy or SVPNPA for the IPS",,verified,https://vajiramandravi.com/upsc-exam/upsc-age-limit/,,none,,"[professional_sector] Police sits here under the cross-cutting rule: a uniformed identity whose work exists because the state exists belongs to Sector 7. A forensic scientist employed by the same police department does NOT — they keep their home sector with a government tag. || [ai_exposure] legal_accountability is true with no licensing_body. Powers of arrest, search and seizure, and personal liability for their misuse, come from the Police Acts and the CrPC rather than from any licensing council. || [verification] Entry is controlled by examination — UPSC Civil Services for the IPS, SSC CPO and state police recruitment boards for Sub-Inspector and Constable. Tier B rather than C: an authority decides who enters, even though no council licenses the profession afterwards. State recruitment rules vary and were not individually verified."
"Law, Governance & Public Service",law-armed-forces-officer,Armed Forces Officer,"Commands soldiers, sailors or aircrew in the Indian Armed Forces.",Army Officer | Naval Officer | Air Force Officer | Technical Entry Officer | Logistics Officer (defence) | Education Officer (defence),EXT-DEFENCE | EXT-GOVT | AASSC,undergrad,after_any_degree,any,NDA (UPSC) | CDS (UPSC) | AFCAT | TES / TGC / SSC technical entries,,,,,work_first,rare,,,moderate,india,low,"Physical, hierarchical and accountable command under conditions no system is trusted to hold. Analysis and logistics are exposed; leading people who may be hurt is not.",,4,1.0,8-12,15-25,0.1,yes,,"class_12: Any stream for NDA Army; Physics and Maths required for NDA Air Force and Navy -> exam: NDA after class 12, or CDS and AFCAT after a degree, or technical and short-service entries -> ssb: Services Selection Board — five days of psychological and group testing, the real filter -> training: IMA, INA, AFA or OTA -> commission: Permanent or Short Service Commission","route limit: Age limits are strict and vary by entry: NDA is roughly 16.5 to 19.5, CDS and AFCAT run to about 25, and technical and short-service entries have their own bands. | bypass: I; f;  ; t; h; e;  ; N; D; A;  ; w; i; n; d; o; w;  ; c; l; o; s; e; s;  ; a; t;  ; a; b; o; u; t;  ; 1; 9; .; 5; ,;  ; C; D; S;  ; a; n; d;  ; A; F; C; A; T;  ; r; e; o; p; e; n;  ; e; n; t; r; y;  ; a; f; t; e; r;  ; a;  ; d; e; g; r; e; e;  ; t; o;  ; a; b; o; u; t;  ; 2; 5; ,;  ; a; n; d;  ; t; e; c; h; n; i; c; a; l; ,;  ; J; A; G;  ; a; n; d;  ; s; h; o; r; t; -; s; e; r; v; i; c; e;  ; e; n; t; r; i; e; s;  ; r; u; n;  ; l; a; t; e; r;  ; s; t; i; l; l;  ; w; i; t; h;  ; t; h; e; i; r;  ; o; w; n;  ; b; a; n; d; s; .",verified,https://vajiramandravi.com/upsc-exam/upsc-age-limit/,,none,,"[professional_sector] Here rather than in Engineering & Making even for technical entries. The cross-cutting rule turns on IDENTITY: an officer is an officer first and an engineer second. A civilian engineer working for DRDO keeps Sector 2 with a defence tag. || [entry_window] Age limits here are genuinely tight and are the tightest in the taxonomy for the NDA route, which closes at about 19.5. Unlike the civil services there is no later route that reopens at thirty, so a student who wants this has to decide early. || [ai_exposure] legal_accountability is true with no licensing_body. An officer is subject to the Army, Navy or Air Force Act and is personally answerable under military law - a stricter accountability than most licences impose, and one no council administers. || [verification] Entry is controlled by examination — NDA and CDS are conducted by UPSC, AFCAT by the Air Force. Tier B rather than C. The SSB interview, not the written paper, is where most candidates are filtered out, and that stage is not an examination in the ordinary sense."
"Law, Governance & Public Service",law-judicial-services-officer,Judicial Services Officer,Sits as a judge in the district courts and decides cases.,Civil Judge (Junior Division) | Judicial Magistrate | Additional District Judge | Judicial Officer | Court Registrar,EXT-LEGAL | EXT-GOVT,professional,after_any_degree,any,State Judicial Services Examination (Civil Judge) | Higher Judicial Services Examination,,,,Bar Council of India,work_first,rare,,,high,india,low,The highest combined foundational-knowledge and clarity share in the taxonomy. Judging is applying law to disputed facts and being personally accountable for the outcome — the most structurally protected work in the dataset.,,5,6.0,7-11,14-28,0.67,yes,,"class_12: Any stream -> degree: LLB — five-year integrated after class 12, or three-year after any degree -> enrolment: Bar Council enrolment; some states require years of practice for the higher entry -> exam: State Judicial Services Examination, conducted by the High Court or State PSC -> service: Appointment as a Civil Judge, then progression through the district judiciary",,verified,https://www.pw.live/judiciary/exams/aibe-exam-eligibility,,none,,"[profession] A separate profession from Lawyer, not a senior version of one. Entry is by a distinct state examination taken after the LLB, and many judicial officers are appointed as fresh law graduates without practising as advocates at all."
"Law, Governance & Public Service",law-public-policy-professional,Public Policy Professional,Researches and designs the rules and programmes governments run on.,Policy Analyst | Policy Researcher | Legislative Assistant | Programme Evaluation Analyst | Government Affairs Analyst | Regulatory Affairs Analyst (policy),EXT-GOVT | EXT-DEV | EXT-RND | EXT-LEGAL | MEPSC,undergrad,after_any_degree,any,"CUET PG | Institute entrances (NLS, TISS, Ashoka, IIM public policy)",cuet-ug,,0-1,,masters_required,possible_later,,"Independent policy consulting to foundations, industry bodies and international organisations.",moderate,any,medium,"Literature review and drafting are exposed. Deciding which problem a policy should solve, and for whom, is the clarity that carries this profession.",,5,6.0,5-10,12-25,0.8,yes,,"class_12: Any stream -> degree: Any bachelor's; economics, law, political science and engineering all feed in -> post_graduate: MPP or MA in public policy is the usual entry qualification -> employment: Think tanks, LAMP fellowships, government advisory units, foundations, corporate government-affairs teams",,judgment,,,none,,"[professional_sector] Distinct from Research Psychologist and other Sector 3 researchers, which study the world to know it. Policy work exists to CHANGE what the state does — without a state there is no policy profession, which is the Sector 7 test."
"Law, Governance & Public Service",law-paralegal,Paralegal & Legal Support Executive,"Does the research, drafting and paperwork a legal team runs on.",Paralegal | Legal Assistant | Contract Management Executive | Legal Operations Executive | Court Clerk | Documentation Executive (legal) | Compliance Assistant,EXT-LEGAL | IT-ITES | BFSI | MEPSC | EXT-GOVT,certificate,after_any_degree,any,none,,,,,work_first,possible_later,,Freelance contract drafting and documentation support for small firms and startups.,moderate,india,high,"THE MOST EXPOSED PROFESSION IN THIS SECTOR by a wide margin. Document review, contract abstraction and legal research are exactly what language models do well, and legal process outsourcing is built on that work. There is no licence and no personal liability to protect it.",,2,1.0,2.5-5,5-11,0.27,yes,,"class_12: Any stream -> certificate: Paralegal or legal-support diploma; a BA LLB is not required -> degree: Any bachelor's helps; law graduates awaiting enrolment often start here -> employment: Law firms, in-house legal teams, legal process outsourcing firms, courts",,judgment,,REVIEW,high,"Highest AI exposure in Sector 7 and no licence to protect it, in a profession whose Indian employment sits largely in legal process outsourcing for foreign firms — the segment most directly substitutable. It is also a genuine entry route for law graduates awaiting enrolment. Decide how strongly to frame the exposure.","[professional_sector] The base layer of the legal pyramid, listed beside Lawyer at its apex. It is also the only unlicensed profession in this sector, which is exactly why it is the most AI-exposed one — the licence and the liability are what protect the others."
"Law, Governance & Public Service",law-firefighter,Firefighter,"Runs towards fires, collapses and accidents to get people out.",Firefighter | Fire Operator | Rescue Operator | Municipal Fire Officer | Emergency Response Operator | Fire Station Officer,EXT-GOVT | CSDCI | HYSSC | AASSC,certificate,open,any,State fire service recruitment examinations | Municipal corporation recruitment,,,,,work_first,rare,,,moderate,india,low,"Among the least exposed work in the entire taxonomy. Entering a burning building and cutting someone out of a car is physical, unstructured and irreducibly human.",,2,0.5,3-5,6-12,0.12,yes,,"class_12: Class 12 in any stream; some state cadres take class 10 -> physical: Height, chest, endurance and running standards - a genuine and strict gate -> exam: State fire service or municipal corporation recruitment; some states recruit through the police board -> training: State fire service training academy -> employment: State fire services, municipal corporations, airports, refineries, large industrial plants",,judgment,,,none,,"[professional_sector] Routed here from Sector 2, where Fire & Safety Engineer sits. The split is that the engineer DESIGNS systems so a fire never starts, which is engineering; the firefighter is a uniformed public servant who responds when it does, which is the Sector 7 cross-cutting rule."
"Law, Governance & Public Service",law-patent-agent,Patent Agent,"Writes and files patents, and argues for them at the patent office.",Patent Agent | Patent Analyst | Patent Drafting Specialist | Prior Art Search Analyst | IP Paralegal | Patent Prosecution Associate,EXT-LEGAL | EXT-RND | LSSSDC | ESSCI | IT-ITES,professional,after_any_degree,any,Patent Agent Examination (Indian Patent Office),,,,"Controller General of Patents, Designs and Trade Marks (Register of Patent Agents)",work_first,common,,Independent patent practice once registered - drafting and prosecution for startups and research institutions.,moderate,india,low,"Prior-art searching and first-draft claim writing are directly exposed. A registered agent signs filings and answers for them, and the claim-drafting judgment that decides how broad a patent is remains the craft.",,5,4.0,4-9,12-28,0.62,yes,,"class_12: Science stream in practice, because the degree below requires it -> degree: A degree in science, pharmacy, engineering or technology from a university established under Indian law — a hard requirement under Section 126 of the Patents Act 1970. A law degree alone does NOT qualify you. -> exam: The Patent Agent Examination conducted by the Indian Patent Office -> registration: Registration on the Register of Patent Agents -> employment: IP law firms, corporate IP teams, research organisations, IP analytics firms",,verified,https://www.intepat.com/blog/patent-agent-in-india,,none,,"[professional_sector] Routed here from Sector 3. The subject matter is science but the work is law - delete the Patents Act and the profession disappears, which is the Sector 7 test. Sector 3 keeps the research the patent describes. || [path_to_entry] The requirement runs opposite to most legal careers: a SCIENCE OR ENGINEERING degree is mandatory and a law degree alone does not qualify you to sit the examination. One of the few routes where a B.Tech or B.Sc graduate has an advantage over an LLB holder. || [licensing_body] Section 126 of the Patents Act 1970 sets four conditions: Indian citizenship, age at least 21, a science, pharmacy, engineering or technology degree from an Indian university, and passing the qualifying examination — or ten years of service as a patent examiner. Section 125 requires the Controller General to maintain the Register of Patent Agents, and until your name is on it you cannot lawfully practise. That makes this Tier A in the strict sense: practising unregistered is unlawful, not merely unrecognised."
