professional_sector,id,profession,one_liner,job_roles,industrial_sectors,degree_dependency,mid_stream_entry,class12_prerequisite,entrance_exams,entry_gate,applicants_per_seat,prep_years,licensing_body,after_undergrad,self_employment,self_emp_ceiling_lpa,self_emp_route,india_demand,pathway,ai_exposure,ai_reason,role_spread,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,payback_years,ship,failed_rules,path_to_entry,entry_window,verified,source,admin_review,review_priority,review_reason,nuances
Software & Computing,swc-software-developer,Software Developer,Writes the code behind apps and websites people use every day.,Frontend Developer | Backend Developer | Full-Stack Developer | Android Developer | iOS Developer | Software Engineer | API Developer | Smart Contract Engineer,IT-ITES | BFSI | RASCI | TSSC | HSSC | MESC | LSC,undergrad,open,any,JEE Main (B.Tech) | CUET (BCA/B.Sc) | BITSAT | VITEEE | SRMJEEE | COMEDK,jee-main,23.5,1-2,,work_first,common,,"Freelance and contract development, or founding a product company.",high,india,medium,"Syntax and boilerplate are skill, and that is what AI now does. What remains is deciding what to build, how it should behave at the edges, and why the last approach failed. Junior implementation work shrinks; deciding what is worth implementing does not.",,4,6.0,3.5-8.0,8.0-20.0,1.04,yes,,"class_11_12: Any stream. Maths helps but BCA and B.Sc IT accept most streams. -> degree: B.Tech CSE, BCA or B.Sc Computer Science (3-4 years) -> portfolio: Working projects on GitHub — this is what actually gets you hired",,judgment,,,,,"[job_roles] Smart Contract Engineer is retained here after Blockchain was dropped as a standalone profession. The Indian Web3 market is too thin to support a separate career, but the role exists inside general development."
Software & Computing,swc-website-store-builder,Website & Online Store Builder,"Builds and looks after websites and online shops for small businesses, usually freelance.",WordPress Developer | Shopify Developer | Webflow Developer | Website Maintenance Freelancer | E-commerce Store Setup Specialist,IT-ITES | RASCI | MESC | THSC,none,open,any,none,,,,,work_first,common,,"Freelance from the first client, then a small agency. This is the most common self-employment in Sector 1 and also the most exposed to no-code tools taking the low end.",declining,india,high,"Almost pure execution skill on digital output, which is the most exposed combination in the sector. What survives is the client relationship — knowing a local business well enough to run their store. Building the pages themselves is already largely automated. Raised clarity 20->25. The durable part of this work is understanding what a local business actually needs versus what they asked for — that is 'for whom' clarity. Page-building itself is fully exposed.",,1,0.3,1.5-4.0,3.0-6.0,0.11,NO,mid_career 4.5 < 6.0 with ai_exposure high,"self_study: Learn WordPress or Shopify — free, online, no gatekeeper -> portfolio: Build 3-5 real sites, even unpaid, for local businesses -> first_clients: Freelance platforms or local word of mouth",,judgment,,REVIEW,medium,"SELF-EMPLOYMENT CEILING OWED. Employed mid-career is 4.5 lakh and people in this profession routinely go independent, but no reliable Indian figure was found for what they earn once they do. Until it exists the record understates the profession, which is exactly the defect this field was added to fix. The route is recorded; the number is not.","[demand_signal] Demand is declining. Wix, Shopify and no-code builders have absorbed most of the simple brochure-and-catalogue work that defined this job, and generative tools are taking the rest of the low end. What survives is integration, performance and commerce operations for businesses that have outgrown a template. Still listed - Indian small business is enormous and the work has not vanished - but the direction is down."
Software & Computing,swc-game-developer,Game & Interactive Media Developer,"Builds video games and 3D interactive worlds — the code, the rules and the environments.",Game Programmer | Unity Developer | Unreal Engine Developer | Game Designer | Level Designer | Mobile Game Developer | AR Developer | VR Developer | Simulation Developer,MESC | IT-ITES | AASSC | HSSC | CSDCI,certificate,open,any,none,,,,,work_first,possible_later,,Indie studio or contract development for larger studios.,moderate,india,medium,"Asset production and boilerplate gameplay code are exposed. Judging what is actually fun, and why a level feels wrong, is clarity that does not transfer to a model.","[Game Designer, Level Designer] higher: openness, existential, verbal / lower: logical, attention_span",2,2.0,3.0-6.0,6.0-12.0,0.44,yes,,"class_11_12: Any stream -> training: Game development diploma, or self-taught Unity/Unreal -> portfolio: 2-3 finished playable games or XR demos. Studios hire on this, not marks.",,judgment,,,none,,"[job_roles] AR and VR development is merged in here rather than standing alone. The engines are the same - Unity and Unreal - the studios are largely the same, and India's standalone XR market is small. Confirmed as a merge rather than a separate profession."
Software & Computing,swc-ai-ml-engineer,Artificial Intelligence & Machine Learning Engineer,"Teaches computers to recognise patterns, predict things and answer in language.",Machine Learning Engineer | Data Scientist | Natural Language Processing Engineer | Computer Vision Engineer | MLOps Engineer | Applied AI Engineer | LLM Application Engineer,IT-ITES | BFSI | HSSC | RASCI | ASCI | LSC | TSSC,undergrad,open,any,JEE Main (B.Tech) | CUET (BCA/B.Sc) | BITSAT | VITEEE | COMEDK,jee-main,23.5,1-2,,masters_advantage,possible_later,,"Independent consulting or founding a product company, on the strength of a portfolio.",high,any,medium,"Model training is increasingly automated. Framing the problem, judging whether the data answers the question, and deciding when the model is good enough to ship are not.",,4,6.0,6.0-14.0,15.0-30.0,0.6,yes,,"class_11_12: Any stream, but Maths makes this far easier -> degree: B.Tech, BCA, B.Sc CS/Statistics/Maths (3-4 years) -> specialisation: Strong linear algebra and probability, plus real ML projects",,judgment,,,none,,"[economics] The early band reflects a hiring market that has moved fast in both directions. Treat the ceiling as cycle-dependent rather than structural. || [degree_dependency] Tagged undergrad because that is what the hiring market overwhelmingly screens on, not because the knowledge is unreachable otherwise. This is the profession in Sector 1 where a demonstrated portfolio - published models, competition results, real deployed systems - most often overrides the absence of a matching degree. The tag is the destination and the usual door; it is not the only door. || [economics] The widest band in the taxonomy, and the width is real rather than an artefact. The same job title covers someone fine-tuning an existing model against a vendor API and someone training models at scale in a research-adjacent team, and Indian pay for the second is set by a small global market while pay for the first is set by ordinary IT services rates."
Software & Computing,swc-data-analyst,Data Analyst,Turns messy company data into charts and answers that help people decide.,Business Data Analyst | Business Intelligence Developer | Product Analyst | Reporting Analyst | Power BI / Tableau Developer | Marketing Analytics Executive,IT-ITES | BFSI | RASCI | LSC | HSSC | TSSC | MEPSC,certificate,open,any,none,,,,,work_first,possible_later,,Freelance analytics and dashboard work for small businesses.,high,india,high,Reporting and dashboard-building is skill on digital output — squarely in the blast radius. Product Analyst survives because it depends on knowing which question is worth asking and arguing for a decision.,,1,0.5,3.0-6.0,6.0-12.0,0.11,yes,,"class_11_12: Any stream -> training: Analytics certification — Excel, SQL, Power BI or Tableau -> portfolio: 3-4 dashboards built on real public datasets",,judgment,,,none,,"[degree_dependency] Tagged certificate because the certification-plus-portfolio route genuinely works in India. Many employers still screen on a degree, so the route is real but not frictionless."
Software & Computing,swc-data-engineer,Data Engineer,Builds the pipes and storage that carry a company's data safely from place to place.,Data Engineer | Database Administrator | ETL Developer | Data Warehouse Engineer | Big Data Engineer | Analytics Engineer,IT-ITES | BFSI | TSSC | RASCI | LSC | PSSC,undergrad,open,any,JEE Main (B.Tech) | CUET (BCA/B.Sc) | BITSAT | VITEEE | COMEDK,jee-main,23.5,1-2,,work_first,rare,,,high,india,medium,"Pipeline boilerplate is generated well by AI. Judging correctness, cost and what to do when data is wrong at 3am is clarity with real consequences.",,4,6.0,5.0-10.0,12.0-22.0,0.8,yes,,"class_11_12: Any stream -> degree: B.Tech, BCA or B.Sc Computer Science -> specialisation: SQL, Python, and a cloud data stack",,judgment,,,,,
Software & Computing,swc-cybersecurity-specialist,Cybersecurity Specialist,"Defends computer systems from attack, and tests them by trying to break in first.","Security Operations Centre (SOC) Analyst | Penetration Tester | Application Security Engineer | Cloud Security Engineer | Digital Forensics Analyst | Governance, Risk & Compliance (GRC) Analyst | Incident Response Analyst",IT-ITES | BFSI | TSSC | PSSC | HYSSC | SMSSC | HSSC,certificate,open,any,none,,,,,work_first,possible_later,,"Independent penetration testing and audit practice, always under written scope.",high,india,medium,"L1 alert triage is skill and heavily exposed. Adversarial judgement — attackers adapt, so the right response is never a fixed procedure — is clarity, as is being the accountable human during a breach.","[Penetration Tester] higher: openness, reasoning, confidence / lower: agreeableness, dogmatism",2,1.0,4.0-8.0,9.0-18.0,0.17,yes,,"class_11_12: Any stream -> certification: CompTIA Security+, CEH, or OSCP for the offensive side -> practice: Capture-the-flag competitions and home lab work",,judgment,,,none,,"[degree_dependency] Tagged certificate rather than undergrad on the strength of how hiring actually works: OSCP, CEH, CISSP and equivalent certifications are what employers screen on, and the field takes entrants from IT support and networking backgrounds without a security degree. A computer science degree helps and is the common path; it is not the gate. || [job_roles] Penetration Tester and Red Team Analyst are offensive-security roles, and the skills are the same ones an attacker uses. What separates the profession from the crime is authorisation - a signed scope agreement before any testing - and that distinction belongs in front of a school-age student at the point the role is shown, not after."
Software & Computing,swc-cloud-devops-engineer,Cloud & DevOps Engineer,"Keeps apps running on the internet — fast, always on, and cheap to run.",Cloud Engineer (AWS / Azure / GCP) | DevOps Engineer | Site Reliability Engineer | Platform Engineer | Systems Administrator | Kubernetes Engineer,IT-ITES | BFSI | TSSC | RASCI | MESC,certificate,open,any,none,,,,,work_first,possible_later,,"Independent cloud consulting, usually after certifications and production experience.",high,india,medium,"Config and scripting is exposed. Deciding architecture trade-offs, and being answerable when production is down, is not.",,2,1.0,4.0-9.0,10.0-20.0,0.15,yes,,"class_11_12: Any stream -> certification: AWS, Azure or Google Cloud associate certification -> practice: Deploy and run your own projects end to end",,judgment,,,,,
Software & Computing,swc-software-tester,Software Tester,Hunts for bugs and broken behaviour before customers ever see them.,Manual QA Tester | Automation Test Engineer | Software Development Engineer in Test (SDET) | Performance Test Engineer | Mobile App Tester | Accessibility Tester,IT-ITES | BFSI | TSSC | HSSC | SCPWD,certificate,open,any,none,,,,,work_first,rare,,,moderate,india,high,Manual QA is the highest skill-to-clarity ratio in the sector: repetitive execution on digital output. SDET and performance testing carry more clarity and are materially safer. Anyone entering should target automation from day one.,"[Manual QA Tester, Accessibility Tester] higher: attention_span, conscientiousness / lower: logical, openness",1,0.5,3.0-5.5,5.0-10.0,0.12,yes,,class_11_12: Any stream -> training: Software testing certification (ISTQB is the common one) -> specialisation: Move to automation early — Selenium or Playwright,,judgment,,,none,,[ai_exposure] The high band is driven by MANUAL QA. SDET and performance testing sit in a materially different position. Anyone entering should target automation from day one rather than manual testing.
Software & Computing,swc-it-support-network-technician,IT Support & Network Technician,"Fixes the computers, wifi and networks an office runs on.",IT Helpdesk Technician | Desktop Support Engineer | Network Engineer | Network Operations Centre (NOC) Engineer | Field Service Technician (IT) | Hardware & Networking Technician,IT-ITES | TSSC | ESSCI | BFSI | RASCI | HSSC,certificate,open,any,none,,,,,work_first,common,,Own AMC business maintaining IT for small offices and shops.,high,india,low,"Skill-heavy but most of that skill is physical — crimping cable, replacing hardware, walking to a site. L1 phone scripts are exposed; field and network work is not. Raised clarity 20->25. Helpdesk work is the classic gap between what a user reports and what is actually wrong — diagnosing the real problem behind the stated one is 'what' and 'for whom' clarity.","[IT Helpdesk Technician, Desktop Support Engineer] higher: extraversion, emotional_intelligence, agreeableness / lower: logical, attention_span",1,0.5,2.0-4.0,4.0-8.0,0.17,yes,,class_11_12: Any stream -> training: ITI or polytechnic diploma in computer hardware and networking -> certification: CompTIA A+ or Cisco CCNA to move up,,judgment,,,none,,"[economics] Listed as a destination, and it is a real one: network, systems and NOC work is a durable career with certification ladders - CCNA onwards - that raise pay without a degree. It is also the cheapest technical entry point in this sector, which is why the low band is not the whole story. A student should know both that it pays least at entry and that it is one of the few routes into cloud and infrastructure work that does not require an engineering seat."
