professional_sector,profession,one_liner,degree_dependency,class12_prerequisite,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,ai_exposure,india_demand,self_employment,licensing_body,ship
Software & Computing,Software Developer,Writes the code behind apps and websites people use every day.,undergrad,any,4,6.0,3.5-8.0,8.0-20.0,medium,high,common,,yes
Software & Computing,Website & Online Store Builder,"Builds and looks after websites and online shops for small businesses, usually freelance.",none,any,1,0.3,1.5-4.0,3.0-6.0,high,declining,common,,NO
Software & Computing,Game & Interactive Media Developer,"Builds video games and 3D interactive worlds — the code, the rules and the environments.",certificate,any,2,2.0,3.0-6.0,6.0-12.0,medium,moderate,possible_later,,yes
Software & Computing,Artificial Intelligence & Machine Learning Engineer,"Teaches computers to recognise patterns, predict things and answer in language.",undergrad,any,4,6.0,6.0-14.0,15.0-30.0,medium,high,possible_later,,yes
Software & Computing,Data Analyst,Turns messy company data into charts and answers that help people decide.,certificate,any,1,0.5,3.0-6.0,6.0-12.0,high,high,possible_later,,yes
Software & Computing,Data Engineer,Builds the pipes and storage that carry a company's data safely from place to place.,undergrad,any,4,6.0,5.0-10.0,12.0-22.0,medium,high,rare,,yes
Software & Computing,Cybersecurity Specialist,"Defends computer systems from attack, and tests them by trying to break in first.",certificate,any,2,1.0,4.0-8.0,9.0-18.0,medium,high,possible_later,,yes
Software & Computing,Cloud & DevOps Engineer,"Keeps apps running on the internet — fast, always on, and cheap to run.",certificate,any,2,1.0,4.0-9.0,10.0-20.0,medium,high,possible_later,,yes
Software & Computing,Software Tester,Hunts for bugs and broken behaviour before customers ever see them.,certificate,any,1,0.5,3.0-5.5,5.0-10.0,high,moderate,rare,,yes
Software & Computing,IT Support & Network Technician,"Fixes the computers, wifi and networks an office runs on.",certificate,any,1,0.5,2.0-4.0,4.0-8.0,low,high,common,,yes
Software & Computing,Embedded Software & IoT Developer,"Writes the code that lives inside machines — cars, meters, drones, smart devices.",undergrad,physics + maths,4,6.0,4.0-8.0,8.0-16.0,low,high,rare,,yes
Software & Computing,Enterprise Software Consultant,Sets up and customises the big software that large companies run on.,undergrad,any,4,4.0,4.0-8.0,9.0-18.0,medium,high,common,,yes
Software & Computing,IT Business & Systems Analyst,"Sits between users and coders, and turns 'what we need' into 'what to build'.",undergrad,any,4,4.0,4.0-8.0,9.0-18.0,low,high,rare,,yes
Software & Computing,VFX & Graphics Technical Developer,Builds the software tools and pipelines that film and animation studios use to make effects.,undergrad,any,4,3.0,4.0-8.0,8.0-15.0,medium,moderate,common,,yes
Engineering & Making,Civil Engineer,"Designs and supervises the building of roads, bridges, dams and buildings.",undergrad,physics + maths,4,6.0,3.0-6.0,8.0-14.0,low,high,possible_later,,yes
Engineering & Making,Mechanical Engineer,"Designs and maintains machines, engines, vehicles and the systems that manufacture things.",undergrad,physics + maths,4,6.0,3.0-6.5,5.0-12.0,low,high,possible_later,,yes
Engineering & Making,Electrical Engineer,Designs and looks after the systems that generate and carry electricity.,undergrad,physics + maths,4,6.0,3.0-6.0,6.0-12.0,low,high,possible_later,,yes
Engineering & Making,Electronics & Communication Engineer,"Designs the circuits and signal systems inside phones, networks and electronic devices.",undergrad,physics + maths,4,6.0,3.5-7.0,7.0-14.0,low,high,rare,,yes
Engineering & Making,Chip Design Engineer,Designs the microchips that run every electronic device.,undergrad,physics + maths,4,6.0,8.0-16.0,18.0-35.0,medium,high,rare,,yes
Engineering & Making,Chemical Engineer,"Designs the large-scale processes that turn raw materials into fuels, medicines and plastics.",undergrad,physics + maths,4,6.0,3.5-7.0,7.0-14.0,low,moderate,rare,,yes
Engineering & Making,Aerospace Engineer,"Designs aircraft, rockets and satellites, and the systems that fly them.",undergrad,physics + maths,4,6.0,4.0-8.0,8.0-16.0,low,moderate,rare,,yes
Engineering & Making,Mining Engineer,"Plans how to extract coal, ore and minerals from the earth safely.",undergrad,physics + maths,4,6.0,5.0-9.0,10.0-18.0,low,moderate,rare,Directorate General of Mines Safety (DGMS),yes
Engineering & Making,Metallurgical & Materials Engineer,"Works out which metals and materials to use, and why things break.",undergrad,physics + maths,4,6.0,3.5-7.0,7.0-13.0,low,moderate,rare,,yes
Engineering & Making,Marine Engineer,Runs and maintains the engines and machinery of ships at sea.,professional,physics + maths,4,12.0,6.0-12.0,15.0-30.0,low,moderate,rare,Directorate General of Shipping (DG Shipping),yes
Engineering & Making,Petroleum Engineer,Finds and extracts oil and gas from underground reservoirs.,undergrad,physics + maths,4,6.0,5.0-10.0,12.0-25.0,low,moderate,rare,,yes
Engineering & Making,Robotics & Automation Engineer,Builds robots and automatic systems that run factories and machines.,undergrad,physics + maths,4,6.0,4.0-8.0,8.0-16.0,low,high,possible_later,,yes
Engineering & Making,Architect,"Designs buildings — how they look, how they work, and how they stand up.",professional,physics + chemistry + maths,5,10.0,3.0-6.0,6.0-12.0,low,moderate,common,Council of Architecture (CoA),yes
Engineering & Making,Commercial Pilot,Flies passenger and cargo aircraft for a living.,professional,physics + maths,3,57.0,10.0-18.0,25.0-45.0,low,moderate,rare,Directorate General of Civil Aviation (DGCA),yes
Engineering & Making,Aircraft Maintenance Engineer,"Inspects, repairs and certifies aircraft as safe to fly.",professional,physics + maths,4,6.5,3.0-7.0,6.0-12.0,low,moderate,rare,Directorate General of Civil Aviation (DGCA),yes
Engineering & Making,Electrician,"Installs and repairs the wiring and electrical systems in homes, factories and sites.",certificate,any,2,0.4,1.8-4.0,3.5-6.5,low,high,common,,yes
Engineering & Making,Welder,"Joins metal parts together — for buildings, pipelines, ships and machines.",certificate,any,2,0.3,1.0-2.5,3.0-6.0,low,high,common,,yes
Engineering & Making,Fitter & Machine Operator,"Shapes and assembles metal parts using lathes, CNC machines and hand tools.",certificate,any,2,0.4,1.8-4.0,4.0-8.0,low,high,possible_later,,yes
Engineering & Making,Plumber,"Installs and fixes water, drainage and gas pipe systems.",certificate,any,2,0.2,1.8-3.5,2.5-4.5,low,high,common,,yes
Engineering & Making,Carpenter & Furniture Maker,"Builds and fits wooden structures, doors, furniture and interiors.",certificate,any,2,0.2,1.8-3.5,2.5-4.5,low,moderate,common,,yes
