professional_sector,id,profession,one_liner,job_roles,industrial_sectors,degree_dependency,mid_stream_entry,class12_prerequisite,entrance_exams,entry_gate,applicants_per_seat,prep_years,licensing_body,after_undergrad,self_employment,self_emp_ceiling_lpa,self_emp_route,india_demand,pathway,ai_exposure,ai_reason,role_spread,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,payback_years,ship,failed_rules,path_to_entry,entry_window,verified,source,admin_review,review_priority,review_reason,nuances
8. Design & Creative Arts,des-graphic-designer,Graphic & Visual Designer,"Makes information look right and read clearly - logos, packaging, posters, brand systems.",Graphic Designer | Brand Identity Designer | Packaging Designer | Layout & Publication Designer | Motion Graphics Designer | Signage & Wayfinding Designer | Social Media Creative Designer | Typographer,MESC | IT-ITES | RASCI,certificate,open,any,UCEED | NID DAT,,,,,work_first,common,,Freelance and small-studio work built off the same portfolio used to get hired; a one-person studio serving local businesses is the commonest form.,high,india,high,"The most exposed profession in this sector. Generative image tools now produce competent layouts, social creatives and packaging mockups from a prompt, and that is exactly the entry-level work a junior is hired to do. Social Media Creative Designer and Layout & Publication Designer face this first. Brand Identity Designer is the protected end - the work there is deciding what a company should look like and defending the call to people who disagree, which is clarity, not output.","[Motion Graphics Designer] higher: spatial, logical / lower: verbal || [Brand Identity Designer] higher: verbal, openness, confidence / lower: attention_span",2,1.5,2.5-5,6-14,0.4,yes,,"class_11_12: Any stream. No subject is required. -> training: A 1-2 year diploma in graphic or communication design, or a B.Des. Neither is legally required. -> portfolio: Build a portfolio of 10-15 real pieces. This, not the certificate, is what gets read at hiring. -> work: Junior designer at a studio, agency or in-house brand team; or freelance from the portfolio directly.",,judgment,,,none,,"[degree_dependency] There is no qualification here at all. The portfolio IS the credential, and a self-taught designer with good work competes directly with a B.Des graduate. That cuts both ways: entry is genuinely open, and nothing protects the practitioner from being undercut. || [ai_exposure] The bottom rung is shrinking, not the profession. Studios still need someone to decide what is right and take responsibility for it - what they need fewer of is people to produce the twentieth variation of a banner."
8. Design & Creative Arts,des-ux-designer,UI/UX Designer,"Designs how an app or website works and feels, so people can use it without being taught.",UX Designer | UI Designer | Interaction Designer | UX Researcher | Design Systems Designer | Information Architect | Usability Analyst | Service Designer | Product Designer (Digital),IT-ITES | MESC,undergrad,after_any_degree,any,UCEED | NID DAT,,,,,work_first,common,,"Freelance product design for startups, or a small independent studio. Common after 4-6 years, once a case-study portfolio can win work on its own.",high,any,medium,"Screens generate easily; understanding does not. UI Designer is the exposed role - tools already produce clean, conventional layouts from a description. UX Researcher and Service Designer are the protected end, for the same reason an IT Business Analyst is: the work is establishing what a room of people who disagree actually need, and a model cannot know whose problem it is.","[UX Researcher, Usability Analyst] higher: verbal, emotional_intelligence, reasoning / lower: spatial || [Design Systems Designer] higher: conscientiousness, logical, attention_span / lower: openness",4,6.0,4-8,8-18,1.0,yes,,"class_11_12: Any stream. -> degree: B.Des, or any bachelor's degree followed by a UX course. Psychology, English and engineering graduates all enter this way. -> portfolio: Three or four case studies showing a problem, the research, the decisions and the outcome - not just screens. -> work: Junior UX or UI designer on a product team.",,judgment,,,none,,"[industrial_sectors] Routed here from Sector 1. The tools are digital and the employer is usually a software company, but the object of concern is the person using the product - swap the software out for a hospital form or an ATM and the work survives unchanged. || [entry_competition] Null on purpose. This is one of the few well-paid Indian professions with no gate of any kind - no exam, no licence, no required degree subject. A commerce or arts graduate can enter it directly, which is rare in this dataset."
8. Design & Creative Arts,des-animator-vfx,Animator & VFX Artist,"Makes drawings and digital models move - for film, series, games and advertising.",2D Animator | 3D Animator | Character Rigger | VFX Compositor | Modelling & Texturing Artist | Lighting & Rendering Artist | Storyboard Artist | Matchmove Artist | Roto & Paint Artist | Motion Capture Artist,MESC | IT-ITES,undergrad,after_any_degree,any,UCEED | NID DAT,,,,,work_first,common,,"Freelance shots and sequences for studios, which is how a large part of the industry already works; established artists take contract work directly from overseas clients.",high,any,high,"Generative video and automated rotoscoping attack this profession from the bottom, which is the worst place to be attacked. Roto & Paint Artist and Matchmove Artist are the exposed roles, and they are precisely the rungs India's outsourced VFX industry hires at volume. Character Rigger, Lighting & Rendering Artist and Storyboard Artist are more protected - rigging is engineering a puppet that must behave under any motion, and storyboarding is narrative judgment.","[Roto & Paint Artist, Matchmove Artist] higher: attention_span, conscientiousness / lower: openness, verbal || [Storyboard Artist] higher: verbal, openness, reasoning / lower: logical",3,4.0,2.5-5,7-18,1.07,yes,,"class_11_12: Any stream. -> degree: B.Sc or BA in Animation, B.Des, or any degree plus a 1-2 year animation and VFX diploma. -> showreel: A 60-90 second showreel in ONE discipline. Studios hire for a seat on a pipeline, not for general ability. -> work: Junior artist at a VFX or animation studio, usually starting on roto, paint or matchmove.",,judgment,,,none,,"[demand_signal] Pathway is 'any' because India is a global outsourcing centre for VFX and animation post-production, so a large share of the work is done here for foreign studios. That is also the vulnerability: the same economics that brought the work can move it. || [ai_exposure] The bottom rung is shrinking, not the career. A rigger or a lighting artist with five years of pipeline experience is not replaceable by a prompt - but the roto seat that used to be how those five years began is."
8. Design & Creative Arts,des-illustrator,Illustrator & Concept Artist,"Draws what does not exist yet - characters, worlds, book art, comics and editorial images.",Illustrator | Concept Artist | Comic & Graphic Novel Artist | Children's Book Illustrator | Editorial Illustrator | Character Designer | Matte Painter | Scientific & Medical Illustrator | Caricaturist,MESC | EXT-CULT,none,open,any,none,,,,,work_first,common,,"Commissions taken directly from publishers, studios and agencies, plus print and licensing income from your own work. Most illustrators are self-employed from day one.",moderate,any,high,"The single most exposed profession in this dataset, and it would be dishonest to soften it. Text-to-image models were trained on exactly this output and produce it at near-zero marginal cost. Editorial Illustrator, Matte Painter and general Illustrator commissions are already contracting. What holds: Scientific & Medical Illustrator, where a named human is accountable for the accuracy of a diagram a surgeon will rely on, and Comic & Graphic Novel Artist, where the reader is buying an authored voice across hundreds of pages, not an image.","[Scientific & Medical Illustrator] higher: conscientiousness, naturalistic, attention_span / lower: openness || [Comic & Graphic Novel Artist] higher: verbal, long_term_memory / lower: agreeableness",2,0.5,1.8-4,5-12,0.17,yes,,"class_11_12: Any stream. -> practice: Draw for two to three years and build a body of work. A BFA or design diploma helps and is not required. -> portfolio: A public portfolio and a visible style. Commissions come from being findable. -> work: Commissions from publishers, studios and agencies; or a staff concept artist seat at a game or animation studio.",,judgment,,,none,,"[ai_exposure] Listed at high exposure and kept, because the rule for dropping a profession is technological obsolescence of the NEED, not of the current method. People still want drawn worlds, comics and picture books. What has collapsed is the price of a single competent image. || [economics] The employed figures describe a staff concept artist at a game or animation studio. A freelance illustrator's income is lumpy and commission-driven, and the range understates both its floor and its ceiling."
8. Design & Creative Arts,des-game-designer,Game Designer,"Decides what a game is and how it plays - rules, levels, difficulty, economy and story.",Game Designer | Level Designer | Narrative Designer | Systems & Economy Designer | Environment Artist | Character Artist (Games) | UI Designer (Games) | Technical Designer | Playtest & Balance Analyst,MESC | IT-ITES,undergrad,after_any_degree,any,none,,,,,work_first,possible_later,,"Independent release on Steam, itch.io or the app stores, usually as a two-to-five person team. Realistic only after several years of shipped experience.",moderate,any,medium,"A clarity-heavy profession, which is what protects it. Environment Artist and Character Artist (Games) are exposed - they are asset production and generative tools reach them directly. Game Designer, Level Designer and Systems & Economy Designer are protected: the work is deciding what would be fun for a specific audience and then being proved wrong in playtesting, which is a judgment loop rather than an output task.","[Narrative Designer] higher: verbal, openness, long_term_memory / lower: logical || [Systems & Economy Designer, Playtest & Balance Analyst] higher: logical, reasoning, attention_span / lower: extraversion",4,3.0,3.5-7,8-18,0.57,yes,,"class_11_12: Any stream. -> degree: Any bachelor's degree. Game design programmes exist but studios hire on shipped work. -> portfolio: Two or three finished small games, or levels and mods built in Unity or Unreal. Finished beats ambitious. -> work: Junior designer or QA-to-design at a studio; India's studios cluster in Bengaluru, Pune, Hyderabad and Mumbai.",,judgment,,,none,,"[industrial_sectors] Distinct from Sector 1's Game & Interactive Media Developer, and the substitution test is what separates them. Remove the game from the developer and a software engineer remains; remove it from the designer and nothing does. One writes the engine, the other decides what the engine should make you feel. || [demand_signal] Moderate, not high. India has a very large games MARKET and a much smaller game DEVELOPMENT industry - most Indian studios do art and engineering services for foreign titles rather than original design. Reading market size as the number of design jobs is the error DECISIONS.md 8.45 warns against."
8. Design & Creative Arts,des-interior-designer,Interior Designer,"Plans the inside of homes, shops and offices - layout, light, materials and furniture.",Interior Designer | Space Planner | Retail & Store Design Specialist | Fixture & Joinery Designer | Lighting Designer | Exhibition & Stall Designer | Interior Project Coordinator | Modular Kitchen Specialist | Interior Stylist,CSDCI | FFSC | RASCI,undergrad,after_any_degree,any,NID DAT | UCEED,,,,,work_first,common,,"Independent practice, usually as a design-and-build studio taking a margin on execution as well as a design fee. This is the normal shape of the profession in India, not an exception.",high,india,medium,"Layout options and renders generate easily, and Interior Stylist and Space Planner feel that first. What does not automate is the middle of the job: standing on a site where the wall is 40mm out, the client has changed their mind and the carpenter has cut the wrong sheet. Interior Project Coordinator and Fixture & Joinery Designer are protected by that reality.","[Lighting Designer] higher: spatial, logical, attention_span / lower: extraversion || [Interior Project Coordinator] higher: conscientiousness, extraversion / lower: openness",4,6.0,3-6,7-16,1.33,yes,,"class_11_12: Any stream. -> degree: B.Des or B.Sc in Interior Design (4 years), or a 1-2 year diploma. Neither is legally required to practise. -> site_experience: Two to three years with a firm, learning execution - materials, vendors, costing and site supervision. -> work: Designer at a studio or design-and-build firm, or independent practice.",,judgment,,,none,,"[licensing_body] Null, and this is the sector's most consequential settled fact. The Architects Act 1972 protects the TITLE 'architect' - it does not protect the ACTIVITY of designing interiors. Anyone in India may design and execute an interior with no registration and no degree. The Institute of Indian Interior Designers is a voluntary professional association, not a statutory regulator. || [economics] The employed range describes a designer on a firm's payroll. Independent practice earns on execution margin rather than fee, and that is where the real income in this profession sits - which is exactly what mid_career_lpa excludes by design."
8. Design & Creative Arts,des-industrial-designer,Industrial & Product Designer,"Designs physical products - appliances, tools, vehicles, medical devices, furniture.",Industrial Designer | Product Designer (Hardware) | Furniture Designer | Transportation Designer | Toy Designer | CMF Designer | Packaging Structure Designer | Design Researcher | Model Maker & Prototyper,CGSC | FFSC | ASDC | MESC,undergrad,after_any_degree,any,UCEED | NID DAT | CEED,uceed,62.9,1,,masters_advantage,possible_later,,"Independent design consultancy serving manufacturers, normally after 5-8 years in-house - the work comes from a network, not a portfolio site.",moderate,any,low,"The least exposed design profession here, because the output has to survive manufacture. A model can generate a beautiful kettle; it cannot know the tooling budget, the draft angles, the certification regime or what the factory can actually make. CMF Designer and Packaging Structure Designer are the more exposed roles; Design Researcher and Model Maker & Prototyper are the least.","[Design Researcher] higher: verbal, emotional_intelligence, reasoning / lower: spatial || [Model Maker & Prototyper] higher: bodily, attention_span / lower: verbal",4,8.0,4-8,8-18,1.33,yes,,"class_11_12: Any stream. Physics and Maths help with the engineering side but are not required. -> entrance_exam: UCEED for the IITs, or NID DAT. Private design colleges admit on their own tests. -> degree: B.Des in Industrial or Product Design (4 years), or M.Des after any degree via CEED. -> work: In-house design team at a manufacturer, or a product design consultancy.",,judgment,,,none,,"[entry_competition] UCEED is named as primary because for THIS profession the public design institutes really are the dominant route into the good jobs - unlike graphic or UI design, where entry is portfolio-led and the exam is irrelevant. 15,408 candidates for 245 seats is 62.9 to 1, harder than JEE Main. || [demand_signal] Moderate, and the reason is structural: India manufactures at enormous scale but designs comparatively little of what it makes, because design authority for many products sits with the foreign brand owner. That is a real ceiling on the profession's size, not a comment on its quality."
8. Design & Creative Arts,des-fashion-designer,Fashion Designer,Designs clothing and textiles - from mass-market ranges to couture and costume.,Fashion Designer | Textile & Surface Designer | Print & Pattern Designer | Costume Designer | Fashion Stylist | Knitwear Designer | Accessory Designer | Fashion Illustrator | Trend & Colour Forecaster,AMHSSC | TSC | MESC,undergrad,after_any_degree,any,NIFT Entrance Examination | NID DAT,nift-entrance,3.7,0-1,,work_first,common,,"Own label, a boutique, or freelance design for export houses. In India this is the normal route to a real income in this profession rather than an alternative to it.",moderate,india,low,"Print & Pattern Designer and Fashion Illustrator are the exposed roles - generating colourways and repeats is exactly what image models do well. The rest of the profession is protected by cloth: fit, drape, fabric behaviour and how a garment moves on a body are physical problems learned by making, and a design that cannot be sewn at a price is not a design. Costume Designer is protected further by having to serve a character and a director.","[Textile & Surface Designer, Print & Pattern Designer] higher: spatial, naturalistic, attention_span / lower: extraversion || [Fashion Stylist] higher: extraversion, emotional_intelligence, confidence / lower: conscientiousness",4,8.0,2.5-6,6-14,1.88,yes,,"class_11_12: Any stream. -> entrance_exam: NIFT Entrance Examination, NID DAT or UCEED. Private and state colleges admit on their own tests. -> degree: B.Des in Fashion Design (4 years) at NIFT, NID or a private institute. -> work: Assistant designer at an export house, a domestic brand or a designer studio.",,judgment,,,none,,"[economics] The employed range describes an assistant or in-house designer at an export house or brand - where most NIFT graduates go, and it pays modestly. The public image of the profession comes from the very small number who run a successful label, and that income is entrepreneurship, excluded from mid_career_lpa by design. || [entry_competition] NIFT at 3.7 applicants per seat is the MOST OPEN national design gate in the registry - 17 times easier to enter than UCEED. Fashion is widely believed to be a hard course to get into; at NIFT's scale, it is not."
8. Design & Creative Arts,des-apparel-production,Fashion & Apparel Production Technician,"Turns a design into something a factory can actually sew - patterns, fit, samples, quality.",Pattern Maker | Garment Technologist | Fit Technician | Sample Coordinator | CAD Pattern & Grading Specialist | Apparel Quality Controller | Cutting Room Supervisor | Production Merchandiser,AMHSSC | TSC,certificate,open,any,NIFT Entrance Examination,,,,,work_first,possible_later,,An independent sampling or pattern-making unit serving several export houses - a common step once a pattern master has a reputation in a cluster.,high,india,low,"Protected by cloth and by the factory floor. CAD Pattern & Grading Specialist is the most exposed role, since grading is rule-based and already largely automated in software. Fit Technician and Pattern Maker are the safest work in the apparel chain: judging why a sleeve pulls on a real body, and knowing what to change, is a physical skill built over years.","[Production Merchandiser] higher: verbal, extraversion, conscientiousness / lower: spatial || [Pattern Maker, CAD Pattern & Grading Specialist] higher: spatial, logical, attention_span / lower: extraversion",2,1.5,2.4-4.8,6-14,0.42,yes,,"class_11_12: Any stream. Physics, Chemistry and Maths are needed ONLY for the NIFT B.F.Tech degree route, not for the trade route. -> training: A 1-2 year diploma in apparel manufacturing or pattern making - NIFT, ATDC or an NSQF-aligned course. -> work: Sampling or production floor at an export house in Tiruppur, Noida, Bengaluru or Ludhiana. -> specialisation: Move into pattern making, fit or quality - the skills that survive when a line is automated.",,judgment,,,none,,"[class12_prerequisite] 'any' is correct for the profession but hides a real fork. The NIFT B.F.Tech degree route requires Physics, Chemistry and Maths in class 12; the diploma and trade routes require nothing. A student without PCM is shut out of that one degree, not out of this profession. || [profession] Deliberately named around PATTERN and FIT rather than around factory management. Generic production planning and line balancing survive the substitution test - they are the same job in an electronics plant - and belong in Sector 2. Pattern making, grading and fit do not survive it: they exist only because cloth behaves as it does."
8. Design & Creative Arts,des-tailor,Tailor & Garment Maker,Cuts and sews clothing to measure or to a pattern - the base of the whole apparel industry.,Tailor | Sewing Machine Operator | Boutique Tailor | Alteration Specialist | Hand & Machine Embroiderer | Cutting Master | Ethnic Wear Specialist | Bespoke Suit Tailor,AMHSSC | TSC,none,open,any,none,,,,,work_first,common,,"Own tailoring shop or boutique, taking measure-to-order work and alterations directly. Capital needed is one or two machines.",high,india,low,"Almost untouchable. Sewing a garment to fit a specific person is physical work in an unstructured environment, and every attempt to automate garment assembly has foundered on the fact that cloth is limp and will not hold its shape. Sewing Machine Operator is the only role with real exposure, and that is to automation of the factory line rather than to AI.","[Sewing Machine Operator] higher: attention_span, conscientiousness / lower: verbal, extraversion, openness || [Bespoke Suit Tailor, Cutting Master] higher: spatial, bodily, long_term_memory / lower: neuroticism",1,0.2,1.2-2.4,1.8-4.2,0.11,yes,,"class_11_12: None. Many enter after class 8 or 10. -> training: Apprenticeship with a working tailor, an ITI Sewing Technology trade, or an NSQF short course. -> work: Operator at a garment unit, or with a neighbourhood tailor. -> independence: Own shop with one to three machines, which is where the income actually changes.",,judgment,,REVIEW,high,"No sourced figure exists for what an independent tailor or boutique owner earns. Without it the record shows 3.0 LPA and reads as a dead end, when independence is the normal path in this trade and the reason people enter it. This is the same gap flagged on Mason in Sector 2 and needs the same fix: a sourced self_employment.ceiling_lpa.","[economics] These are EMPLOYED figures, largely piece-rate work in garment units, and they sit close to the legal minimum wage. They are not what a tailor with an established shop earns, and the record has no sourced figure for that - which is what the admin_review is for. || [demand_signal] High and stable, and worth stating plainly because the trade looks old-fashioned. Indian clothing is still overwhelmingly stitched to measure or altered after purchase, and both are jobs nobody has found a way to do remotely."
