professional_sector,id,profession,one_liner,job_roles,industrial_sectors,degree_dependency,mid_stream_entry,class12_prerequisite,entrance_exams,entry_gate,applicants_per_seat,prep_years,licensing_body,after_undergrad,self_employment,self_emp_ceiling_lpa,self_emp_route,india_demand,pathway,ai_exposure,ai_reason,role_spread,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,payback_years,ship,failed_rules,path_to_entry,entry_window,verified,source,admin_review,review_priority,review_reason,nuances
"9. Media, Film & Storytelling",med-journalist,Journalist & Reporter,"Finds out what happened, checks it, and tells the public - in print, on air or online.",Reporter | Sub-Editor & Copy Editor | Correspondent | News Anchor | News Producer | Science Journalist | Legal Journalist | Business Journalist | Sports Journalist | Photojournalist | Fact-Checker | Data Journalist,MESC | EXT-GOVT,undergrad,after_any_degree,any,IIMC entrance | CUET UG | CUET PG | Symbiosis SET (Mass Communication),,,,,work_first,common,,"Freelance reporting, a subscriber-funded newsletter or an independent digital outlet. Increasingly common in India as staff newsrooms shrink, and it is where much of the serious reporting now happens.",moderate,india,medium,"Aggregation, rewriting agency copy and templated market or sports reports are already automated, and those were the trainee's job. Sub-Editor & Copy Editor and Business Journalist on routine numbers are the exposed roles. What no model can do is be in the room: Correspondent, Photojournalist and any reporting that depends on a source trusting a named person are protected, and Fact-Checker is protected by being the answer to the problem.","[Sub-Editor & Copy Editor, Fact-Checker] higher: attention_span, conscientiousness, verbal / lower: extraversion || [News Anchor] higher: extraversion, confidence, short_term_memory / lower: openness || [Data Journalist] higher: logical, reasoning, spatial / lower: extraversion",3,3.0,2.4-5.0,6-15,0.81,yes,,"class_11_12: Any stream. -> degree: Any bachelor's degree. A BA or MA in journalism or mass communication is common and is not required - subject expertise in economics, law or science is often worth more. -> clips: Published work. Student papers, campus magazines, freelance pieces and a blog all count; editors hire on what you have written. -> work: Trainee reporter or sub-editor at a newspaper, broadcaster or digital newsroom.",,judgment,data/verified_facts.json#journalism-unregulated,,none,,"[economics] Anchored on the Majithia Wage Board, the only statutory pay schedule in this sector - entry basic of Rs 13,000 a month at the largest newspaper groups down to Rs 7,000 at the smallest, plus 20-35 percent variable pay and allowances. Two caveats travel with it and both matter: those are 2011 figures never since revised, and the Act binds NEWSPAPER establishments only. || [licensing_body] Null. The Press Council of India is statutory but regulates newspapers' CONDUCT, not journalists' right to work - it cannot strike anyone off. PIB accreditation is often mistaken for a licence; it only grants access to government premises. || [demand_signal] Moderate, and the shape is unusual: print newsrooms are contracting while digital and regional-language news are growing, so total employment is roughly flat with the jobs moving. A student should know that the growing half pays worse and is outside the Working Journalists Act altogether."
"9. Media, Film & Storytelling",med-content-writer,Content Writer & Editor,"Writes and edits the words other people publish - websites, manuals, books, documentation.",Content Writer | Technical Writer | Medical Writer | SEO Content Writer | UX Writer | Book Editor | Proofreader | Ghostwriter | Translator & Localisation Specialist | Commissioning Editor | Author | Translator | Interpreter | Subtitler | Localisation Specialist,MESC | IT-ITES | LSSSDC,undergrad,after_any_degree,any,none,,,,,work_first,common,,"Freelance writing and editing, which is how a large share of this work is already bought. Medical and technical writers command the highest independent rates because the domain knowledge is scarce.",moderate,any,high,"The most exposed profession in this sector and one of the most exposed in the dataset. SEO Content Writer and general Content Writer produce exactly what language models produce, and that market has already repriced. Proofreader is going the same way. What holds is where someone must be ACCOUNTABLE for the text: Medical Writer, where a clinical study report is a regulatory document with a named author, and UX Writer, where the words are a product decision. Book Editor and Commissioning Editor are protected by judgment about what is worth publishing at all.","[Technical Writer, Medical Writer] higher: conscientiousness, logical, attention_span / lower: openness || [Author, Ghostwriter] higher: openness, long_term_memory, existential / lower: agreeableness || [Translator & Localisation Specialist] higher: verbal, long_term_memory, reasoning / lower: extraversion",3,2.0,2.4-5.0,5-13,0.54,yes,,"class_11_12: Any stream. Technical and medical writing favour a science background but do not require one. -> degree: Any bachelor's degree. For Medical Writer a life-sciences, pharmacy or medical degree is effectively expected. -> samples: A portfolio of published or sample work. This is the whole application - there is no exam and no certificate anyone checks. -> work: In-house content or documentation team, an agency, a publisher, or a pharmaceutical or CRO writing group.",,judgment,,,none,,"[job_roles] Technical Writer and Medical Writer were both promised to this sector from elsewhere - Technical Writer from Software & Computing, Medical Writer from Healthcare. Both are kept as job roles rather than professions because the skill set is the same writing craft applied to a different domain, which is what the merge test in DECISIONS.md 8.95 asks. || [ai_exposure] High, and the honest framing is that this profession is repricing rather than disappearing. Demand for text has gone up, not down; what has collapsed is the price of ordinary text. The surviving work is the text that carries consequence or requires domain knowledge a model cannot be trusted with unsupervised. || [demand_signal] Moderate rather than high, which is a downgrade from where this profession sat two years ago. Content and SEO writing was one of the largest entry-level employers of Indian arts graduates, and that intake has visibly contracted."
"9. Media, Film & Storytelling",med-filmmaker,Filmmaker & Director,"Decides what a film or series is and gets it made - story, cast, performance, final cut.",Film Director | Assistant Director | Screenwriter | Documentary Filmmaker | Casting Director | Script Supervisor | Ad Film Director | Web Series Director | Creative Producer,MESC,undergrad,after_any_degree,any,FTII JET | SRFTI entrance,,,,,work_first,common,,"Independent and commissioned work - documentaries, advertising films, corporate video and streaming commissions. Almost every Indian director is legally self-employed, hired project to project.",moderate,india,low,"The most clarity-heavy profession in this sector, which is what protects it. Generative video produces shots; it does not decide what story is worth telling, what a performance should feel like, or whether a scene is working. Ad Film Director is the most exposed role, because short commercial video is where synthetic footage is being adopted fastest. Documentary Filmmaker is the least - it depends on access, trust and being physically present.","[Screenwriter] higher: verbal, openness, long_term_memory / lower: extraversion || [Assistant Director, Script Supervisor] higher: conscientiousness, attention_span, short_term_memory / lower: openness || [Casting Director] higher: emotional_intelligence, extraversion, long_term_memory / lower: logical",6,6.0,2.0-5.0,5-18,1.71,yes,,"class_11_12: Any stream. -> degree: Any bachelor's degree, or a film school - FTII Pune, SRFTI Kolkata, or a private institute. Film school is a strong advantage and is not required; a large share of working Indian directors did not attend one. -> apprenticeship: Three to six years as an assistant director. This is the real entry route in Indian film and it is poorly paid. -> work: Direct short films, ads or web content, then features. Documentary and advertising are the routes that pay while you build a reel.",,judgment,,,none,,"[years_to_qualify] Six years is longer than an MBBS, and it is not spent studying. It is three to six years of assistant directing on very low pay before anyone is trusted with a film. The runway, not the fee, is this profession's real cost of entry. || [economics] The range is wide because the distribution is extreme - a working ad-film or streaming director earns well while most people who set out to direct never make a feature. The employed figure describes steady commissioned work, which is what the profession looks like for those who stay in it."
"9. Media, Film & Storytelling",med-cinematographer,Cinematographer & Camera Professional,"Decides how a scene is lit and framed, and operates the camera that records it.",Cinematographer | Camera Operator | Focus Puller | Gaffer | Lighting Technician (Film) | Steadicam Operator | Digital Imaging Technician | Drone Cinematographer | Second Unit Cinematographer,MESC | IT-ITES,certificate,open,any,FTII JET | SRFTI entrance,,,,,work_first,common,,"Freelance day rates, which is how essentially the whole camera department works. Owning a camera package materially raises what you can charge.",moderate,india,low,"Protected by being physically present with equipment in a real space. Lighting a face, pulling focus on a moving actor and rigging a crane are not text problems, and no generative tool touches Gaffer, Focus Puller or Steadicam Operator. Digital Imaging Technician is the most exposed role, since colour and data management is increasingly automated software.","[Gaffer, Lighting Technician (Film)] higher: bodily, spatial, conscientiousness / lower: verbal || [Digital Imaging Technician] higher: logical, attention_span / lower: openness",4,2.0,2.4-5.0,6-16,0.54,yes,,"class_11_12: Any stream. -> training: Film school, a cinematography diploma, or no formal training at all - many enter as camera attendants and learn on set. -> crew: Work up through the camera department: attendant, second assistant, focus puller, operator. -> work: Cinematographer on ads, music videos, documentaries or independent films, then longer formats.",,judgment,,,none,,"[degree_dependency] Certificate rather than undergrad, and that is the truth of the camera department: it is a craft entered as an assistant and learned by doing. A degree helps you get the first job and nothing after that. || [self_employment] Marked common because it is nearly universal - the camera department is freelance almost by definition, hired per project at a day rate. There is no meaningful employed version of this profession outside television news and corporate in-house teams."
"9. Media, Film & Storytelling",med-film-editor,Film Editor & Post-Production Professional,"Assembles the shot footage into the film - what stays, what goes, and in what order.",Film Editor | Video Editor | Assistant Editor | Colourist | Online Editor | Trailer Editor | Subtitling & Captioning Editor | Post-Production Coordinator,MESC | IT-ITES,certificate,open,any,FTII JET,,,,,work_first,common,,"Freelance editing for agencies, production houses and creators - a laptop and a reel are the whole setup, which makes this one of the lowest-capital independent routes in the dataset.",high,any,medium,"Split down the middle. Subtitling & Captioning Editor is being automated fastest - machine transcription and translation already do the first pass - and Assistant Editor work like logging, syncing and rough assembly is going the same way. Film Editor proper is protected by the thing the job actually is: deciding what a scene needs, which is judgment about rhythm and performance, argued out with a director over weeks.","[Colourist] higher: spatial, attention_span, openness / lower: verbal || [Subtitling & Captioning Editor, Post-Production Coordinator] higher: conscientiousness, attention_span, verbal / lower: openness",3,2.0,2.4-5.0,6-15,0.54,yes,,"class_11_12: Any stream. -> training: An editing diploma or film school, or self-taught on the software - the tools are cheap and the skill is demonstrable. -> portfolio: Cut real footage. A reel of finished work is the entire hiring test. -> work: Assistant editor at a post house, or editing corporate, ad and digital content directly.",,judgment,,,none,,"[demand_signal] High, and unusually for this sector it is growing rather than flat. Streaming, advertising, corporate video and the creator economy all consume edited video at volume, and India edits a great deal of it for overseas clients as well. || [economics] Employed figures describe a post house or in-house team. Freelance editors working directly with agencies and creators can earn considerably more, and the capital needed to start is a laptop - which is why self_employment is marked common."
"9. Media, Film & Storytelling",med-sound-designer,Sound Designer & Audio Engineer,"Builds everything you hear that is not music - dialogue, effects, atmosphere, the mix.",Sound Designer | Production Sound Mixer | Boom Operator | Re-recording Mixer | Foley Artist | Dubbing Engineer | Podcast Audio Editor | Broadcast Audio Engineer | Sound Editor,MESC | IT-ITES,certificate,open,any,FTII JET,,,,,work_first,common,,"Freelance sound design and mixing, or a small home studio serving podcasts, ads and independent films. Audio post is one of the easiest crafts to run from a spare room.",moderate,any,medium,"Dubbing Engineer and Podcast Audio Editor are the exposed roles - automated dialogue cleanup, levelling and even synthetic dubbing across languages are already commercial products, and India's dubbing volume makes that a large exposure. Production Sound Mixer, Boom Operator and Foley Artist are protected by having to be in a physical space with a microphone, and Re-recording Mixer by the judgment of what a scene should sound like.","[Boom Operator, Production Sound Mixer] higher: bodily, attention_span, spatial / lower: openness || [Foley Artist] higher: bodily, musical, openness / lower: logical || [Dubbing Engineer] higher: conscientiousness, verbal, attention_span / lower: openness",3,2.0,2.4-4.8,5-14,0.56,yes,,"class_11_12: Any stream. Physics helps with acoustics and is not required. -> training: A sound engineering diploma, a film school sound specialisation, or an apprenticeship in a studio. -> work: Assistant at a recording or post studio, or boom operator on set. -> specialisation: Sound design, mixing, or live and broadcast audio - the three diverge quickly and pay differently.",,judgment,,,none,,"[entrance_exams] This is one of the fields the entrance-gate rules were relaxed for. There is no public entrance into sound engineering worth naming - private institutes are the route, and their fees are the real barrier. FTII's sound specialisation is the exception and takes a handful of students a year."
"9. Media, Film & Storytelling",med-photographer,Photographer & Videographer,"Records what is in front of the lens - weddings, products, wildlife, news, people.",Photographer | Wedding Photographer | Product & Advertising Photographer | Fashion Photographer | Wildlife Photographer | Videographer | Photo Editor & Retoucher | Real Estate & Architectural Photographer | Event Videographer,MESC | THSC,certificate,open,any,none,,,,,work_first,common,,"Own studio or freelance practice, which is what almost all Indian photography is. Wedding work is the volume market and a photographer running a small team through a season earns well above the employed figure.",high,india,low,"Split sharply. Product & Advertising Photographer and Photo Editor & Retoucher are directly exposed - synthetic product imagery is already replacing catalogue shoots, and retouching is largely automated. Wedding Photographer, Event Videographer and Wildlife Photographer are nearly untouched, because the job is to be physically present while something real and unrepeatable happens.","[Wedding Photographer, Event Videographer] higher: extraversion, emotional_intelligence, bodily / lower: openness || [Wildlife Photographer] higher: naturalistic, attention_span, conscientiousness / lower: extraversion || [Photo Editor & Retoucher] higher: spatial, attention_span / lower: extraversion",2,2.0,1.8-4.2,4-12,0.67,yes,,"class_11_12: Any stream. -> training: A photography diploma or apprenticeship with a working photographer. Neither is required. -> equipment: A camera and lenses - the real capital cost of this profession, and the reason cost_of_entry is not near zero. -> work: Second shooter at a wedding studio, assistant at a commercial studio, or direct client work.",,judgment,,,none,,"[economics] The employed range badly understates this profession, because there is barely an employed version of it. Almost all Indian photographers are self-employed and wedding season income is concentrated into a few months. The number to look at is self_employment.route, not mid_career_lpa. || [job_roles] Photojournalist is deliberately NOT listed here - it sits under Journalist & Reporter, because the object of concern there is the news, and a photojournalist answers to an editor and a standard of evidence rather than to a client."
"9. Media, Film & Storytelling",med-production-designer,Production Designer & Art Director (Film),"Builds the world a story is filmed in - sets, locations, props, the look of the place.",Production Designer | Art Director (Film) | Set Decorator | Prop Master | Set Construction Supervisor | Location Manager | Costume Supervisor | Concept Artist (Film) | Graphics & Signage Artist (Film),MESC | CSDCI | FFSC,undergrad,after_any_degree,any,FTII JET,,,,,work_first,common,,"Freelance per project, like the rest of a film crew. Many art directors also take event, exhibition and retail-display work between films, which smooths the income.",moderate,india,low,"Concept Artist (Film) is the exposed role, for the same reason illustration is - visual development boards are exactly what image models produce. Everything downstream is protected by physical construction: a set has to be built, dressed, lit and walked through by actors, and Set Construction Supervisor, Prop Master and Location Manager are craft and negotiation jobs in the real world.","[Location Manager] higher: extraversion, conscientiousness, verbal / lower: spatial || [Set Construction Supervisor, Prop Master] higher: bodily, spatial, logical / lower: openness",4,4.0,2.0-4.5,5-14,1.23,yes,,"class_11_12: Any stream. -> degree: Architecture, interior design, fine art or film school - all four are common routes. None is required. -> crew: Art department assistant, then set decorator or art director. Entry is through the department, not through a qualification. -> work: Production designer on ads, series and films.",,judgment,,,none,,"[profession] Promised to this sector from Sector 8 rather than kept with Interior Designer, and the substitution test is why: remove the film and nothing survives. A set exists to be photographed from specific angles for a story - it does not have to be lived in, does not have to last, and often has no fourth wall."
"9. Media, Film & Storytelling",med-content-creator,Digital Content Creator,"Makes and publishes their own video, audio or writing to an audience they built themselves.",Content Creator | YouTuber | Podcaster | Video Essayist | Livestreamer | Newsletter Writer | Community Manager | Short-Form Video Creator | Creator Operations Assistant,MESC | IT-ITES | RASCI,none,open,any,none,,,,,work_first,common,,"This profession IS self-employment for almost everyone in it - brand sponsorships, platform revenue share, affiliate sales and own products. The salaried version is working on someone else's channel.",high,any,medium,"Both attacked and enabled by the same tools. Short-Form Video Creator faces the sharpest exposure: synthetic video and voice make the format cheap to flood, which devalues volume while raising the value of a recognisable person. Video Essayist, Podcaster and Newsletter Writer are protected by parasocial trust - the audience is there for a specific human, which is the one thing a model cannot supply. Creator Operations Assistant is exposed on the editing and scheduling side.","[Community Manager, Creator Operations Assistant] higher: conscientiousness, agreeableness, extraversion / lower: openness || [Podcaster, Newsletter Writer] higher: verbal, reasoning, long_term_memory / lower: bodily || [Livestreamer, Short-Form Video Creator] higher: extraversion, confidence / lower: attention_span, emotional_stability",2,0.5,0.6-3.0,2.4-12,0.28,yes,,"class_11_12: None. -> publishing: Publish consistently for one to two years before any income appears. This unpaid period is the real cost of entry. -> audience: Reach the platform thresholds for monetisation, and more importantly an audience a sponsor will pay to reach. -> work: Brand deals, platform revenue, affiliate income and own products. Salaried roles exist on the operations side.",,judgment,,REVIEW,high,"The economics are not describable by a range and should probably not be shown as one. Outcomes follow a power law, survivorship bias in every available source is extreme, and no Indian survey of creator earnings was found. Decide whether to suppress the numbers and state the risk instead, as was proposed for Entrepreneur in Sector 5, and whether this record should surface for school-age users at all.","[economics] The most dispersed income distribution in the dataset, worse even than Entrepreneur in Sector 5. A tiny number earn very large sums, a thin middle earns a living, and the overwhelming majority earn nothing at all. A range is close to meaningless here and should be read as such. || [demand_signal] High demand for CREATORS is not the same as high probability of succeeding as one. Brand spending on creators is genuinely growing fast; the number of people competing for it is growing faster. This is the DECISIONS.md 8.45 error in its most seductive form. || [degree_dependency] None, and it is the only profession in this sector with no gatekeeper of any kind - no employer, no editor, no client. That is precisely why the failure rate is what it is: nothing filters entry, so everything filters outcome. || [economics] economics.distribution is 'power_law', which is a statement that the range and the midpoint should not be read as a typical income. A tiny number earn very large sums, a thin middle earns a living, and the overwhelming majority earn nothing. There is no middle to average. The compensation filter does not fire on a power_law record, because deleting a profession on the strength of a number the record itself calls meaningless would be worse than showing it."
"9. Media, Film & Storytelling",med-voice-artist,Voice Artist & Broadcast Presenter,"Works with the voice - dubbing, narration, radio, hosting, commentary and announcements.",Voice Artist | Dubbing Artist | Radio Jockey | Narrator & Audiobook Reader | Sports Commentator | Television Presenter | Podcast Host | Announcer | E-learning Voiceover Artist,MESC,none,open,any,none,,,,,work_first,common,,"Freelance voice work booked per session or per hour, usually through studios and casting agents. A treated home booth is now enough to compete for remote sessions.",moderate,india,medium,"The most directly threatened profession in this sector, and the reason is specific: synthetic voice is commercially deployed and improving fast. E-learning Voiceover Artist, Announcer and Narrator & Audiobook Reader are the exposed roles - all three produce clean read-aloud text, which is exactly what voice models do. Dubbing Artist sits in the middle: automated cross-language dubbing exists but lip-sync performance in Indian languages is still hard. Sports Commentator, Radio Jockey and Television Presenter are protected because the audience is there for a live person reacting in real time.","[Sports Commentator] higher: short_term_memory, long_term_memory, verbal / lower: agreeableness || [Dubbing Artist] higher: musical, attention_span, bodily / lower: openness || [Radio Jockey, Television Presenter] higher: extraversion, confidence, emotional_intelligence / lower: attention_span",2,1.0,1.8-4.2,4-12,0.33,yes,,"class_11_12: None. -> training: Voice and diction training, a radio jockeying course, or theatre. None is required; casting is on the voice. -> demo: A demo reel of two or three minutes across styles. This is the whole audition in voice work. -> work: Dubbing studios, radio stations, e-learning and advertising voiceover, or live presenting.",,judgment,,,none,,"[ai_exposure] Rated medium rather than high on the composition, but a student should read the reason before taking comfort from the band. This is the one profession in the sector where a named commercial technology substitutes for the core output rather than for the surrounding work."
